 A VSTC VWat E_backup_full E_backup_repr E_loss_stor_full E_loss_stor_repr E_curt_full E_curt_repr E_sol_full E_sol_repr t_repr C_elec_full C_elec_repr t_comp E_demand_full E_demand_repr E_net_loss_full E_net_loss_repr E_net_pump_full E_net_pump_repr
0 25000.0 50000.0 50000.0 147983533.27486977 148261170.43793216 185069.9379221665 196769.81113054947 0.0 0.0 12105491.273212487 11971090.496662375 10.80899399999987 1254265.111233239 1244986.929720444 7.516014999999925 159161013.72362465 159309644.16622862 742940.8865528266 725846.9572376597 1351351.773496595 1255932.1726565913
1 25000.0 100000.0 50000.0 148017125.74990308 148300828.86269355 220950.33015629984 229583.8006018807 0.0 0.0 12105491.273212487 11971090.496662375 3.63824499999987 1233417.8834258923 1221803.2186279467 0.4756209999999328 159161013.72362465 159309644.16622862 740652.9693506111 732691.392523035 1358890.9779074362 1288923.9914176334
2 25000.0 150000.0 50000.0 148048218.79940692 148335104.7996995 249542.98090924192 258794.34164684016 0.0 0.0 12105491.273212487 11971090.496662375 3.825939999999946 1218036.0010965974 1205129.8586355515 0.5062769999999546 159161013.72362465 159309644.16622862 743153.3681040602 737756.788503997 1374373.366600925 1280801.6873765923
3 50000.0 50000.0 50000.0 135861101.38114327 136749084.8906036 185048.6257102097 188646.584688308 0.0 485149.6408921 24210982.54642587 23457031.352426626 3.581354999999917 1165305.010369883 1176061.6186529035 0.4691980000000058 159161013.72362465 159309644.16622862 726021.5782471652 707825.4921355285 1298710.9883536964 1146681.074236332
4 50000.0 100000.0 50000.0 135892071.94618306 136308283.2694891 220898.3239864884 228464.6434656034 0.0 0.0 24210982.54642587 23942180.993318617 3.860499999999888 1141122.2981223434 1144809.9148442794 0.5181349999999156 159161013.72362465 159309644.16622862 721142.4450087157 712355.4531023415 1299624.9192425814 1263521.6727250523
5 50000.0 150000.0 50000.0 135922861.87933937 136344153.82363313 250430.11217160878 262074.9119246722 0.0 0.0 24210982.54642587 23942180.993318617 4.045341000000008 1123767.6575580298 1123507.5592161615 0.47350299999993695 159161013.72362465 159309644.16622862 722400.5899802905 714615.7388037677 1307056.9558538194 1268891.5794196161
6 75000.0 50000.0 50000.0 127882188.44786371 131124164.86599007 187191.902778943 189473.2902350302 4131652.587429868 6838147.970551621 32184821.23220825 29075123.519436423 3.434886000000006 1104699.5613015457 1124237.7391095099 0.48098400000003494 159161013.72362465 159309644.16622862 718804.0536805098 700170.9289604113 1269686.4475768784 1133759.4823289237
7 75000.0 100000.0 50000.0 125582147.08601892 128662862.85027729 222725.18748934078 224583.51474327286 1800599.7653402518 4337671.373626299 34515874.05429807 31575600.116358817 3.730568999999832 1069952.3324314046 1090037.819955183 0.48577899999997953 159161013.72362465 159309644.16622862 714282.2292133999 704235.2856641411 1269196.763461867 1212808.3475972158
8 75000.0 150000.0 50000.0 123805045.3075333 126299859.89806275 250585.3686487047 255259.50870796214 0.0 1949316.0402702 36316473.81963837 33963955.449715815 3.6585670000001755 1041037.8811760694 1061711.573892943 0.4597909999999956 159161013.72362465 159309644.16622862 709920.0349071799 698911.6728327028 1262460.0578582776 1177806.1283982932
9 100000.0 50000.0 50000.0 122615504.27108853 125416115.34148379 187370.12278541157 189557.729931305 10979286.212229298 13100858.04402248 37442678.88062193 34783503.942627214 3.4806449999998677 1055931.867214134 1074720.4125094067 0.5126589999999851 159161013.72362465 159309644.16622862 709799.3053141035 700417.3879385303 1245565.1447899065 1140262.9720968169
10 100000.0 100000.0 50000.0 120315497.3663374 122929996.83228464 223236.06361128626 224645.55714294728 8647952.127710693 10572816.539073179 39774012.96514083 37311545.44757399 4.112512000000152 1021321.4007956308 1040639.8471395343 0.4715810000000147 159161013.72362465 159309644.16622862 705260.5442541472 707252.556495401 1248480.987150663 1226564.601631123
11 100000.0 150000.0 50000.0 118011312.22096585 120614314.92837512 252112.8560970427 255556.10017572975 6318329.146598067 8229229.40392299 42103635.94625355 39655132.582723685 3.8125210000000607 991480.1167475572 1012349.8003608427 0.5655420000000504 159161013.72362465 159309644.16622862 701821.587510325 704247.2446946113 1243097.7172305894 1186787.378351549
12 25000.0 50000.0 75000.0 148000641.96602175 148271750.02068195 204584.80214503425 213793.20326314753 0.0 0.0 12105491.273212487 11971090.496662375 3.499802000000045 1242780.1952121428 1230569.5517841873 0.5375540000000001 159161013.72362465 159309644.16622862 740534.713479829 719403.1478474989 1358507.6966444005 1299308.8545594472
13 25000.0 100000.0 75000.0 148035778.388028 148311350.2447024 238859.4135367223 248007.94942574424 0.0 0.0 12105491.273212487 11971090.496662375 4.141608000000133 1224753.9173501371 1212645.6176115228 0.48947000000021035 159161013.72362465 159309644.16622862 741396.5240950787 724788.6257099514 1375962.3504999415 1313153.016562053
14 25000.0 150000.0 75000.0 148065265.99505636 148345060.66849685 268017.03176579444 277956.6444230258 0.0 0.0 12105491.273212487 11971090.496662375 4.0946500000000015 1210864.708559841 1196940.95088216 0.5166300000000774 159161013.72362465 159309644.16622862 741726.5128952755 728550.354509617 1371806.3287077523 1297302.7219530938
15 50000.0 50000.0 75000.0 135876167.81467357 136278446.65465468 204559.94890432147 209124.66752107348 0.0 0.0 24210982.54642587 23942180.993318617 3.4796329999999216 1151892.4519281168 1157173.6608034298 0.4697200000000521 159161013.72362465 159309644.16622862 721576.6885827235 701858.8142221262 1300077.2532195998 1219251.9744947108
16 50000.0 100000.0 75000.0 135911942.94006398 136324335.42092717 239671.4512380481 249269.97916625885 0.0 0.0 24210982.54642587 23942180.993318617 3.7676010000000133 1131412.645914704 1133222.2611123035 0.49679999999989377 159161013.72362465 159309644.16622862 722240.3116383422 707602.2688486888 1313678.1761226892 1295498.4945362841
17 50000.0 150000.0 75000.0 135939567.77281356 136353033.70597503 268845.332161221 280703.3992542534 0.0 0.0 24210982.54642587 23942180.993318617 3.842764999999872 1115889.3681826747 1113647.9341601266 0.4794130000000223 159161013.72362465 159309644.16622862 720691.2634650245 704867.1338149112 1305134.415345185 1265389.3283061925
18 75000.0 50000.0 75000.0 126730047.33887944 129927917.70227815 206179.4091442629 207926.38660043463 2964647.9337474024 5630775.549816342 33351825.88589128 30282495.940168288 3.348300999999765 1086316.5805094254 1104747.127099638 0.44506699999988086 159161013.72362465 159309644.16622862 714680.0920120155 692843.0896306135 1271330.3336790244 1186598.7852280051
19 75000.0 100000.0 75000.0 124432251.31481192 127462213.78397264 241590.2379584157 243508.61509085656 633353.6061017073 3120588.796338391 35683120.21353635 32792682.693647854 3.8381039999999302 1054136.640814163 1075450.1840602907 0.48899699999992663 159161013.72362465 159309644.16622862 712767.5667752669 701743.696283617 1274373.5990687585 1215822.3768016337
20 75000.0 150000.0 75000.0 123819707.12964374 125113284.13670811 269326.3166468088 274296.8505423004 0.0 747182.0373697712 36316473.81963837 35166089.452615924 4.190922999999884 1030437.178056058 1047235.529944227 0.5489629999999579 159161013.72362465 159309644.16622862 705840.9090188949 695432.5725421166 1260479.187623438 1170804.2920223032
21 100000.0 50000.0 75000.0 121463304.59571251 124172969.89298557 206221.9997526053 208522.10202302824 9812480.654871462 11843020.103379373 38609484.43797947 36041341.8832673 3.5215850000001865 1037606.9160561848 1055461.7531067228 0.4949180000000979 159161013.72362465 159309644.16622862 705553.310326627 696145.5079979022 1247566.6954455774 1202281.4000778843
22 100000.0 100000.0 75000.0 119165328.28987196 121766673.42802763 241704.1221274541 243922.3365131563 7480998.091411292 9393632.958555179 40940967.00143957 38490729.028090194 3.7559049999999843 1005593.8995183199 1026084.2471153174 0.4677409999999327 159161013.72362465 159309644.16622862 703577.4455713725 703835.9533796697 1252889.9051120356 1218263.2536684794
23 100000.0 150000.0 75000.0 116860752.78892162 119458721.39081754 265891.5071411873 275228.28546223463 5156417.470155483 7057829.436505239 43265547.6226968 40826532.550142154 4.076882000000069 976815.6314893615 997915.239179859 0.5907930000000761 159161013.72362465 159309644.16622862 699395.1808622989 700381.4892552339 1236132.9081988896 1180730.950725013
24 25000.0 50000.0 100000.0 148016537.74093717 148287033.53553134 221513.6949586794 229521.09441337295 0.0 0.0 12105491.273212487 11971090.496662375 4.006251999999904 1232765.1700565505 1221000.2858042128 0.607244000000037 159161013.72362465 159309644.16622862 739501.5955817895 718958.7715630454 1364068.1374328888 1315775.013262419
25 25000.0 100000.0 100000.0 148052190.55567074 148330990.39957938 255197.41286809163 264717.06917316146 0.0 0.0 12105491.273212487 11971090.496662375 4.029062000000067 1217329.3090798443 1204282.9015348214 0.5482630000001336 159161013.72362465 159309644.16622862 741470.6924071966 727719.6608521033 1375214.5916698058 1310447.5962851993
26 25000.0 150000.0 100000.0 148081028.05495667 148361042.55492488 285149.431641115 294525.7291539212 0.0 0.0 12105491.273212487 11971090.496662375 4.254875000000084 1204056.5986696612 1189576.0131350828 0.5359880000000885 159161013.72362465 159309644.16622862 740356.1729187452 727963.156213036 1372613.8262778022 1293224.9810420894
27 50000.0 50000.0 100000.0 135891548.39955565 136298356.9560426 221691.7950121076 228118.1006701467 0.0 0.0 24210982.54642587 23942180.993318617 3.9992859999997563 1140486.6881371909 1144321.3820748352 0.5375629999998637 159161013.72362465 159309644.16622862 719825.4273560953 702775.682459113 1306397.711933769 1259352.4393197128
28 50000.0 100000.0 100000.0 135928279.66466206 136342697.01783112 256579.02564209173 267682.9407220696 0.0 0.0 24210982.54642587 23942180.993318617 4.245048999999881 1123089.9849440777 1122712.1941818052 0.5437839999999596 159161013.72362465 159309644.16622862 721669.4618320473 707550.9042036847 1312312.5046619577 1283628.17447519
29 50000.0 150000.0 100000.0 135955517.68141788 136368751.2620171 286306.3046018909 296918.3508453726 0.0 0.0 24210982.54642587 23942180.993318617 3.8818929999997636 1108413.1071116885 1104368.7351993066 0.47689199999990706 159161013.72362465 159309644.16622862 719180.1996279636 704369.7382638893 1304391.6741340572 1260296.479825324
30 75000.0 50000.0 100000.0 125576696.96668684 128712985.08180277 223244.35073252546 224978.47174195954 1795726.4408706825 4399630.58368707 34520747.37876798 31513640.906298734 3.5472990000000664 1069326.9702359496 1089696.9078358545 0.4579740000001493 159161013.72362465 159309644.16622862 713186.2711071442 692003.350135282 1275369.0394546385 1215335.166496042
31 75000.0 100000.0 100000.0 123810341.55477393 126308862.91347657 256894.0018698233 260852.72780569617 0.0 1952309.7163260297 36316473.81963837 33960961.773660034 4.1952870000000075 1040380.3804856223 1061089.5872709104 0.5398159999999734 159161013.72362465 159309644.16622862 708907.648926654 699327.7930892335 1268589.4851447132 1186001.635711178
