 A VSTC VWat E_backup_full E_backup_repr E_loss_stor_full E_loss_stor_repr E_curt_full E_curt_repr E_sol_full E_sol_repr t_repr t_comp E_demand_full E_demand_repr E_net_loss_full E_net_loss_repr E_net_pump_full E_net_pump_repr
0 25000.0 50000.0 50000.0 183442773.87683025 183419690.7092682 265110.250243975 -195303.43556000077 0.0 0.0 2712626.0920522097 2627455.8259958094 8.882972 4.479971 185106266.02524912 185439758.50641617 784023.6933930792 802691.4644121866 703182.1097704346 716614.9883128757
1 25000.0 100000.0 50000.0 183491953.77719548 183465187.21105197 314237.50755424856 -150064.70684945217 0.0 0.0 2712626.0920522097 2627455.8259958094 4.78262 0.6670540000000003 185106266.02524912 185439758.50641617 784076.3364484372 802949.2374884543 703166.8152942653 716722.7455467938
2 25000.0 150000.0 50000.0 183533153.31789583 183504547.40993586 355392.8877113642 -110845.8007090968 0.0 0.0 2712626.0920522097 2627455.8259958094 5.353189 0.6589030000000022 185106266.02524912 185439758.50641617 784120.4969908354 803090.5302321208 703154.0009931864 716799.1539208654
3 50000.0 50000.0 50000.0 180727346.5353694 180788698.90656042 265220.20172241447 -192825.31537984402 0.0 0.0 5425252.18410458 5254911.651994159 4.84966 0.6869520000000016 185106266.02524912 185439758.50641617 781112.4925056972 796677.3675283027 704027.8511376269 714972.8291476014
4 50000.0 100000.0 50000.0 180776489.3321337 180838154.00737882 314310.6717022047 -141288.78006164345 0.0 0.0 5425252.18410458 5254911.651994159 4.458818999999998 0.5486219999999982 185106266.02524912 185439758.50641617 781164.8192906412 794595.9330425495 704012.6391664316 712423.931704302
5 50000.0 150000.0 50000.0 180817667.96385133 180876287.99215823 355445.17070511077 -103283.83703984278 0.0 0.0 5425252.18410458 5254911.651994159 4.545217999999998 0.582341999999997 185106266.02524912 185439758.50641617 781208.9520047003 794724.9748009725 703999.8244430859 712488.215423486
6 75000.0 50000.0 50000.0 178012265.37721398 178157703.8900379 265669.31391080644 -193090.481997356 0.0 0.0 8137878.27615697 7882367.4779866105 4.3828789999999955 0.5707039999999992 185106266.02524912 185439758.50641617 778208.3142143881 793403.3436339403 704872.0920428571 715368.8398236993
7 75000.0 100000.0 50000.0 178061303.5525376 178211685.18653002 314658.941421362 -133960.7781234666 0.0 0.0 8137878.27615697 7882367.4779866105 5.038650000000004 0.5983030000000014 185106266.02524912 185439758.50641617 778256.8620278491 788254.9362567929 704857.4820730176 710296.0771517933
8 75000.0 150000.0 50000.0 178102427.04053247 178251583.32723406 355738.82112126506 -93043.67519829521 0.0 0.0 8137878.27615697 7882367.4779866105 4.569854999999997 0.5603580000000008 185106266.02524912 185439758.50641617 778300.4703228021 787235.974016866 704844.8147621297 709335.2808766208
9 100000.0 50000.0 50000.0 175298299.21601883 175526304.83644035 267237.2287109582 -193376.7369957887 0.0 0.0 10850504.368211022 10509823.303985981 4.586229999999993 0.5886110000000002 185106266.02524912 185439758.50641617 775300.3302727233 789746.3710198725 705717.226152963 716062.4434390834
