 A VSTC VWat E_backup_full E_backup_repr E_loss_stor_full E_loss_stor_repr E_curt_full E_curt_repr E_sol_full E_sol_repr t_repr C_elec_full C_elec_repr t_comp E_demand_full E_demand_repr E_net_loss_full E_net_loss_repr E_net_pump_full E_net_pump_repr
0 25000.0 50000.0 50000.0 174031614.02677023 171608573.77726117 184793.55099172774 191907.9998637281 0.0 0.0 12105491.273212487 11971092.360818002 7.091898000000015 1577914.2858591166 1747888.7472226312 5.526399000000026 185106266.02524912 182567996.55758804 846045.7237823845 819761.5806871195 1663793.5592465154 1437453.5119248938
1 25000.0 100000.0 50000.0 174066548.91730973 171661682.16941696 219897.65137031645 231676.8180271405 0.0 0.0 12105491.273212487 11971092.360818002 1.3444579999999746 1553980.931456454 1715238.8997724603 0.18405799999999317 185106266.02524912 182567996.55758804 845876.5139432037 833101.1546889852 1671438.9514550716 1460721.345253433
2 25000.0 150000.0 50000.0 174097347.2451565 171694587.42852268 249429.3225533023 264400.2197670905 0.0 0.0 12105491.273212487 11971092.360818002 1.3513810000000035 1535786.6924261902 1686527.6183287378 0.18716200000000072 185106266.02524912 182567996.55758804 847143.170603417 833283.0120408903 1673455.3600813954 1481057.1576082606
3 50000.0 50000.0 50000.0 161906896.01540902 162690718.19325057 185665.37492417687 188941.98447657278 0.0 3079774.9212730494 24210982.54642587 20862409.800359998 1.3132850000000076 1483969.6603221863 1691434.3974709958 0.18514499999997724 185106266.02524912 182567996.55758804 825947.1617003111 796189.4515766648 1610777.665154927 1345362.2830812328
4 50000.0 100000.0 50000.0 161941603.36533648 161021206.60940775 221247.1042923012 225250.4942419822 0.0 1370747.6990980501 24210982.54642587 22571437.0225341 1.4442640000000324 1457657.1865755522 1653869.788549419 0.18469200000004093 185106266.02524912 182567996.55758804 825072.7822597006 799396.5801622127 1611907.9380935389 1388648.2567434602
5 50000.0 150000.0 50000.0 161970374.92450267 159682750.7389046 250149.87455928308 256351.12167150358 0.0 0.0 24210982.54642587 23942184.721630488 1.330857999999921 1437987.1837236797 1617035.4978131347 0.19118399999996427 185106266.02524912 182567996.55758804 824941.5711535201 800587.7813386188 1607138.6484657882 1420386.5102813619
6 75000.0 50000.0 50000.0 152171033.93361464 157981591.5621715 186834.30591484555 190021.06170565257 2374857.188299745 10344844.925124126 33941616.631339096 25568432.157300737 1.319991000000016 1412657.2046968462 1638681.449981313 0.18524700000000394 185106266.02524912 182567996.55758804 819550.233827058 792006.1002440124 1582253.8739357344 1333286.18992812
7 75000.0 100000.0 50000.0 149872371.42552704 155658340.38706112 222198.88770263773 225978.4741418599 44112.2559176529 7991694.85189764 36272361.56372079 27921582.230537277 1.323876999999925 1374402.3752290842 1600275.259418714 0.18598099999996975 185106266.02524912 182567996.55758804 816268.0763306477 785947.5859289594 1575341.7114061243 1313010.6001833356
8 75000.0 150000.0 50000.0 149849809.2236429 153657992.75722805 250559.85401068395 255492.0514584407 0.0 5959328.8293510275 36316473.81963837 29953948.25307271 1.3469349999999736 1348758.298161515 1562469.947613163 0.18951999999995905 185106266.02524912 182567996.55758804 809457.1640534332 788452.4013016502 1562809.9547003203 1347920.5934364593
9 100000.0 50000.0 50000.0 146904672.49862474 153257478.58529416 188131.44451522184 190599.98455914512 9220399.303089028 17596438.86308481 39201565.78976251 30287930.580156796 1.4766950000000065 1361290.8003411887 1586346.0367875139 0.1887219999999843 185106266.02524912 182567996.55758804 811840.8186553463 786812.6233594246 1556323.7283845998 1327220.4598982937
