 A VSTC VWat E_backup_full E_backup_repr E_loss_stor_full E_loss_stor_repr E_curt_full E_curt_repr E_sol_full E_sol_repr t_repr t_comp E_demand_full E_demand_repr E_net_loss_full E_net_loss_repr E_net_pump_full E_net_pump_repr
0 25000.0 50000.0 50000.0 183310509.06949827 181745030.36181253 133153.99313865625 169277.34406530374 0.0 0.0 2712626.0920522097 2686386.34204857 3.901083999999969 2.0070879999999534 185106266.02524912 183484360.1174075 783715.1431625494 777779.2424166964 702885.9762953672 701293.2726478546
1 25000.0 100000.0 50000.0 183334628.7542251 181767636.62615222 157247.91463509438 191806.00712824982 0.0 0.0 2712626.0920522097 2686386.34204857 2.260600000000011 0.33422100000001365 185106266.02524912 183484360.1174075 783740.9063926158 777856.8437015504 702878.4780912552 700088.5290399394
2 25000.0 150000.0 50000.0 183354845.5159336 181785153.24891615 177443.01725039602 209269.59865533048 0.0 0.0 2712626.0920522097 2686386.34204857 2.4650279999999043 0.3335459999999557 185106266.02524912 183484360.1174075 783762.5654859755 777909.8749330965 702872.1907678546 700119.2273048682
3 50000.0 50000.0 50000.0 180595085.87263668 179055928.2065147 133268.09295148178 169437.9310736132 0.0 0.0 5425252.18410458 5372772.68409458 2.3053129999999555 0.34830699999997705 185106266.02524912 183484360.1174075 780803.9385408097 774902.8421484435 703731.7186675998 702143.4121495065
4 50000.0 100000.0 50000.0 180619173.93422833 179081867.6719555 157330.67475954592 195416.22759510097 0.0 0.0 5425252.18410458 5372772.68409458 2.409436000000028 0.3330660000000307 185106266.02524912 183484360.1174075 780829.4183247722 774864.0111060789 703724.303580952 699492.3590337427
5 50000.0 150000.0 50000.0 180639373.49082565 179100441.06596357 177508.61237023395 213974.78363774682 0.0 0.0 5425252.18410458 5372772.68409458 2.2288299999999595 0.32361899999995103 185106266.02524912 183484360.1174075 780851.0373107431 774878.8490398738 703718.0263282586 698768.7904463066
6 75000.0 50000.0 50000.0 177880015.21689016 176366800.03118116 133727.64785391698 169577.767352964 0.0 0.0 8137878.27615697 8059159.026149541 2.2847320000000195 0.325725000000034 185106266.02524912 183484360.1174075 777899.8199452234 772021.1725919636 704575.9521804404 703016.0646749149
7 75000.0 100000.0 50000.0 177903999.501667 176392770.91222218 157690.24268867 195589.33889582902 0.0 0.0 8137878.27615697 8059159.026149541 2.521382000000017 0.3941110000000094 185106266.02524912 183484360.1174075 777921.5098863464 771980.482117827 704569.1357998449 700343.481180966
8 75000.0 150000.0 50000.0 177924147.79395875 176411305.2162866 177817.39921544734 214109.16614553423 0.0 0.0 8137878.27615697 8059159.026149541 2.2776910000000044 0.32803200000000743 185106266.02524912 183484360.1174075 777942.645651299 771994.9589136665 704562.9947556431 699622.3817061152
9 100000.0 50000.0 50000.0 175166054.89259169 173677676.62906554 135301.3748500168 169723.46824229672 0.0 0.0 10850504.368211022 10745545.36819895 2.414812999999981 0.3268939999999816 185106266.02524912 183484360.1174075 774991.8607029296 769138.4116282625 705421.0763850128 703890.2928396942
