 A VSTC VWat E_backup_full E_backup_repr E_loss_stor_full E_loss_stor_repr E_curt_full E_curt_repr E_sol_full E_sol_repr t_repr t_comp
0 50000.0 100000.0 75000.0 28825598.71176425 28258761.480603278 37320.496974539536 37420.239218082206 0.0 0.0 2805820.033508866 2666009.2144056642 10.534859779752358 3.2035321455218573
1 50000.0 150000.0 75000.0 28828963.37623412 30606431.21166612 40685.16144441388 55895.33762752962 0.0 2327422.3886454375 2805820.033508866 338586.82576022705 5.836684309525321 3.2238272677345723
2 50000.0 200000.0 75000.0 28831965.12417558 29092761.40349734 43686.909385871695 62323.07076417439 0.0 807376.7557380493 2805820.033508866 1858632.4586676154 6.125452102811405 3.1988847583643114
3 100000.0 100000.0 75000.0 26021637.52940914 25164805.106922425 39179.348128300495 41707.93357853455 0.0 0.0 5611640.067017732 5332018.4288113285 25.628349426333592 4.137270775942991
4 100000.0 150000.0 75000.0 26025000.80647981 25184522.044245087 42542.625198973794 46131.703786909995 0.0 0.0 5611640.067017732 5332018.4288113285 35.82498451964965 3.6032220279733025
5 100000.0 200000.0 75000.0 26028001.38859249 25194858.737957284 45543.20731165132 48580.35833947742 0.0 0.0 5611640.067017732 5332018.4288113285 35.409104269367575 3.420467831139092
6 150000.0 100000.0 75000.0 23220775.21010233 22552413.916031703 44137.06233035781 46676.914811955634 0.0 0.0 8417460.100526597 7998027.643216994 39.79338017187747 3.647739066569514
7 150000.0 150000.0 75000.0 23223956.10338737 22934719.528505966 47315.47434838799 45396.715932095874 0.0 0.0 8417460.100526597 7998027.643216994 12.979556456053672 3.7544969597248325
8 150000.0 200000.0 75000.0 23226841.25959869 22518844.70414993 50200.749479462545 51168.28168492356 0.0 0.0 8417460.100526597 7998027.643216994 35.2627159499757 3.4745462196948154
9 50000.0 100000.0 100000.0 28827491.69506067 29280752.202805586 39213.48027095518 58128.52564187274 0.0 999617.9461835597 2805820.033508866 1666391.2682221045 5.82192783421695 3.233904994044906
10 50000.0 150000.0 100000.0 28830856.35953054 29741124.50971334 42578.1447408294 63456.9435748176 0.0 1454577.943891412 2805820.033508866 1211431.2705142524 5.823316872013777 3.181436634859921
11 50000.0 200000.0 100000.0 28833858.10747199 28266912.711031828 45579.892682287355 45571.46964662896 0.0 0.0 2805820.033508866 2666009.2144056642 10.715729348775028 3.183134550318613
12 100000.0 100000.0 100000.0 26023529.88620193 25210955.582870726 41071.70492109344 49561.87793523636 0.0 0.0 5611640.067017732 5332018.4288113285 38.7016354835157 3.2650217745988073
13 100000.0 150000.0 100000.0 26026893.163297005 25182950.886069674 44434.982016159884 50638.851373765094 0.0 0.0 5611640.067017732 5332018.4288113285 26.351384625258845 3.338466464346368
14 100000.0 200000.0 100000.0 26029893.745425034 25215165.0423607 47435.56414419215 55621.46377132711 0.0 0.0 5611640.067017732 5332018.4288113285 34.42083979715454 3.583783521613782
15 150000.0 100000.0 100000.0 23222667.509693246 22933152.107134182 46026.999574016736 43829.29456030795 0.0 0.0 8417460.100526597 7998027.643216994 11.61402618203141 3.2219568621530357
16 150000.0 150000.0 100000.0 23225847.30298776 22525726.934095923 49206.67394878456 49987.154982846754 0.0 0.0 8417460.100526597 7998027.643216994 34.22662430630163 3.2334411305433264
17 150000.0 200000.0 100000.0 23228730.21509039 22535891.605692502 52092.06731840798 56392.310680493465 0.0 0.0 8417460.100526597 7998027.643216994 32.82386278684231 3.5093596860314733
18 50000.0 100000.0 125000.0 28829230.78571427 28027074.359197352 40952.57092456195 40990.77407412175 0.0 0.0 2805820.033508866 2666009.2144056642 8.262336690508903 3.164185799212703
19 50000.0 150000.0 125000.0 28832595.450184144 30266425.53494753 44317.235394436124 61377.0713802681 0.0 1982012.076151867 2805820.033508866 683997.1382537977 6.51520246985433 3.4909998811167497
20 50000.0 200000.0 125000.0 28835597.198125605 30834132.25284482 47318.98333589416 68741.25793912786 0.0 2542134.777749029 2805820.033508866 123874.43665663565 18.86201483050388 3.523303306194407
21 100000.0 100000.0 125000.0 26025268.24587624 25183992.35635552 42810.06459539337 46886.9778092356 0.0 0.0 5611640.067017732 5332018.4288113285 23.61399336150066 3.713462908788813
22 100000.0 150000.0 125000.0 26028631.678372025 25186645.523977637 46173.49709118111 50399.64776071541 0.0 0.0 5611640.067017732 5332018.4288113285 27.41693889473578 3.8569495285877906
23 100000.0 200000.0 125000.0 26031632.260514155 25228254.250981774 49174.07923331598 54178.00103000361 0.0 0.0 5611640.067017732 5332018.4288113285 31.694629758885753 3.2288119770139474
24 150000.0 100000.0 125000.0 23224298.3865776 22504148.03230737 47660.23880562425 47857.43825144382 0.0 0.0 8417460.100526597 7998027.643216994 72.15809212066574 3.170646703031821
25 150000.0 150000.0 125000.0 23227589.22268387 22938182.05651626 50951.074911891774 48859.24394238332 0.0 0.0 8417460.100526597 7998027.643216994 13.512642833126506 3.456483622919791
26 150000.0 200000.0 125000.0 23230469.98502483 22558243.281733915 53829.629594197555 54164.23523919513 0.0 0.0 8417460.100526597 7998027.643216994 17.88813632627398 3.3000328934653
