 A VSTC VWat E_backup_full E_backup_repr E_loss_stor_full E_loss_stor_repr E_curt_full E_curt_repr E_sol_full E_sol_repr t_repr t_comp E_net_loss_full E_net_loss_repr
0 50000.0 100000.0 75000.0 28825602.95714853 27030094.101059545 37324.74235881928 37455.24446000829 0.0 1.1232479960697998e-09 2805820.033508866 3232.5037271746 10.877339331474275 5.083209982703579 739547.8867368678 516111.65305489686
1 50000.0 150000.0 75000.0 28828967.62762397 27048316.445218373 40689.412834257295 41006.928623559834 0.0 1.045543391481e-09 2805820.033508866 3232.5037271746 11.343446808619206 5.065570022131965 739547.8867368678 530698.1721953015
2 50000.0 200000.0 75000.0 28831969.380922906 27052321.473030616 43691.16613319459 43769.47127060523 0.0 1.2686808521103103e-09 2805820.033508866 3232.5037271746 12.299691887813424 5.091063944310008 739547.8867368678 531941.1688519426
3 100000.0 100000.0 75000.0 26021641.627184235 23780690.542724647 39183.44590339306 40792.23366601158 0.0 1.338299245060942e-09 5611640.067017732 6465.007454347621 10.244071602807026 5.092795411538987 739547.8867368678 495751.5925214288
4 100000.0 150000.0 75000.0 26025004.91011868 23796868.539365347 42546.728837829265 43700.34307608412 0.0 1.1603956091773103e-09 5611640.067017732 6465.007454347621 11.014148946295677 5.132924753745442 739547.8867368678 509016.48190121213
5 100000.0 200000.0 75000.0 26028005.497462325 23844027.74626097 45547.31618148723 46407.44491610746 0.0 1.0080087566465601e-09 5611640.067017732 6465.007454347621 11.978305240751524 5.086166386415471 739547.8867368678 553437.6578014386
6 150000.0 100000.0 75000.0 23097414.65809833 20599820.382881697 44744.92224084755 47450.82527450264 0.0 6.6639768192544e-10 8417460.100526597 9697.511181522563 10.301983857386631 5.099934249464809 615500.9874733592 540822.801955027
7 150000.0 150000.0 75000.0 23100698.65306565 20605224.947027225 47859.19491275809 49913.97170106903 0.0 1.0916241884242001e-10 8417460.100526597 9697.511181522563 10.47205565784634 5.0754136394251645 615628.3417027745 542213.0279862209
8 150000.0 200000.0 75000.0 23103528.8964061 20602635.900947075 50833.05156534677 52240.1670998047 0.0 5.5087730288454e-10 8417460.100526597 9697.511181522563 11.609654424960127 5.089805093241466 615511.6712547581 538816.5147781805
9 50000.0 100000.0 100000.0 28827495.943823945 27011272.543050133 39217.72903423499 39448.53637887612 0.0 9.881708582114e-10 2805820.033508866 3232.5037271746 10.828769268863425 5.093746113953671 739547.8867368678 495296.05758815736
10 50000.0 150000.0 100000.0 28830860.61429938 27025625.40714745 42582.3995096729 42750.34366436836 0.0 1.2916088328180002e-09 2805820.033508866 3232.5037271746 10.97031416211098 5.087946719821389 739547.8867368678 506361.80655317946
11 50000.0 200000.0 100000.0 28833862.36759832 27046163.184200596 45584.15280861039 45533.247513140974 0.0 4.6258279578722005e-10 2805820.033508866 3232.5037271746 12.087280826990877 5.093042295134978 739547.8867368678 524102.85796411993
12 100000.0 100000.0 100000.0 26023533.987276245 23762289.915623356 41075.805995402516 42600.08757333229 0.0 9.5031282398758e-10 5611640.067017732 6465.007454347621 10.699269158914603 5.085269655599177 739547.8867368678 475557.4399030985
13 100000.0 150000.0 100000.0 26026897.27023508 23783729.601501007 44439.08895423183 45696.29264451021 0.0 7.9566720963472e-10 5611640.067017732 6465.007454347621 11.016882899500047 5.089153057983367 739547.8867368678 493877.6808082259
14 100000.0 200000.0 100000.0 26029897.85759409 23809962.591919765 47439.67631324683 48119.205389890936 0.0 1.09989479485845e-09 5611640.067017732 6465.007454347621 11.04976983665938 5.473216047214919 739547.8867368678 517661.54804188514
15 150000.0 100000.0 100000.0 23099871.430605866 20582127.694085643 46533.73505011009 49251.760907113385 0.0 4.9536986827804e-10 8417460.100526597 9697.511181522563 10.98645094072856 5.172066561567931 616152.1450446753 521351.77139200456
