;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
2014-01-04 16:45:00;;;;;;;;;;;294.15;294.15;290.042670961;294.15;294.15;290.003121128;289.962886827;294.15;290.045866604;290.08112407
2014-01-04 17:00:00;;;;;;;;;;;294.15;294.15;290.005607254;294.15;294.15;289.967037766;289.925126902;294.15;290.00959183;294.15
2014-01-04 17:15:00;;;;;;;;;;;294.15;294.15;289.968013308;294.15;294.15;289.930369743;289.886894663;294.15;294.15;294.15
2014-01-04 17:30:00;;;;;;;;;;;294.15;294.15;289.930567494;294.15;294.15;294.15;289.848864861;294.15;294.15;294.15
2014-01-04 17:45:00;;;;;;;;;;;294.15;294.15;289.893291073;294.15;294.15;294.15;289.811055257;294.15;294.15;294.15
2014-01-04 18:00:00;;;;;;;;;;;294.15;294.15;289.856175514;294.15;294.15;294.15;289.773453968;294.15;294.15;294.15
2014-01-04 18:15:00;;;;;;;;;;;294.15;294.15;294.15;294.15;294.15;294.15;289.736047535;294.15;294.15;294.15
2014-01-04 18:30:00;;;;;;;;;;;294.15;294.15;294.15;294.15;294.15;294.15;289.698822651;294.15;294.15;294.15
2014-01-04 18:45:00;;;;;;;;;;;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15
2014-01-04 19:00:00;;;;;;;;;;;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15
2014-01-04 19:15:00;;;;;;;;;;;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15
2014-01-04 19:30:00;;;;;;;;;;;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15
2014-01-04 19:45:00;;;;;;;;;;;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15
2014-01-04 20:00:00;;;;;;;;;;;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15
2014-01-04 20:15:00;;;;;;;;;;;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15
2014-01-04 20:30:00;;;;;;;;;;;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15
2014-01-04 20:45:00;;;;;;;;;;;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15
