;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
2014-01-01 03:30:00;289.142943238;288.789622186;288.792863881;292.65;294.65;288.78174909;288.15;289.117963196;287.65;293.65;287.042618325;288.15;288.15;288.15;287.65;293.65;287.477577539;288.15;294.65;292.65;287.65;288.15;293.65;287.65;288.15;287.65;287.682617479;287.65;288.15;293.15;292.65;293.15;294.65;288.15;290.65;288.222389181;293.15;288.15;293.65;284.927700338;288.65;293.65;288.15;288.15;288.15;288.800546302;288.15;288.15;287.65;287.65
2014-01-01 03:45:00;289.098101227;288.778957472;288.770439092;292.65;294.65;288.757264239;288.15;289.022122219;287.65;293.65;286.99858126;288.15;288.15;288.15;287.65;293.65;287.449369039;288.15;294.65;292.65;287.65;288.15;293.65;287.65;288.15;287.65;287.65;287.65;288.183422452;293.15;292.65;293.15;294.65;288.15;288.15;288.181971591;293.15;288.15;293.65;285.22984723;288.65;293.65;288.15;288.15;288.15;288.672613951;288.15;288.15;287.65;287.65
2014-01-01 04:00:00;289.035344015;288.75539098;288.732232557;290.109895449;290.131292415;288.713460967;288.15;288.951444546;287.65;293.65;286.959735645;287.65;288.208814775;287.65;287.65;293.65;287.410724428;288.15;290.448399084;287.816803449;287.65;288.15;293.65;287.65;288.15;287.65;287.65;287.65;288.202971968;288.97449123;288.864655701;288.251721452;290.407270357;288.15;287.65;288.166251417;288.829600259;288.15;293.65;285.508830209;288.65;293.65;288.15;288.15;288.15;288.569300012;288.15;288.15;287.65;287.65
2014-01-01 04:15:00;288.950233608;288.727033721;288.693342696;289.740010956;289.546695329;288.65;288.15;288.894000166;287.65;293.65;286.912690848;287.65;288.274730742;287.65;287.65;293.65;287.366168261;288.15;289.896124718;287.174370882;287.65;288.15;293.65;287.65;288.15;287.65;287.65;287.65;288.202530932;288.4206443;288.390921146;287.65;289.853439976;288.15;287.65;288.15;288.297716033;288.15;293.65;285.715816892;288.65;293.65;288.15;288.15;288.15;288.459251318;288.15;288.15;287.65;287.65
2014-01-01 04:30:00;288.87811504;288.691757245;288.65;289.60549;289.37681897;288.65;288.15;288.847379434;290.4;293.65;286.862088187;287.65;288.345787081;287.65;287.65;293.65;287.321204958;288.15;289.732281654;286.97654202;287.65;288.15;293.65;287.65;288.15;287.65;287.65;287.65;288.201423606;288.285399322;288.273674196;287.65;289.688104847;288.15;287.65;288.15;288.199582665;288.15;293.65;285.941409887;288.65;293.65;288.150242011;288.15;288.15;288.376927149;288.15;288.15;287.65;287.65
2014-01-01 04:45:00;288.811985427;288.65;288.65;289.504077005;289.246338304;288.65;288.15;288.805064615;293.15;293.65;286.808917272;287.65;288.417029339;287.65;287.65;293.65;287.278832158;288.15;289.617534904;286.833106387;287.65;288.15;293.65;287.65;288.15;287.65;287.65;287.65;288.188148955;288.187743576;288.206829667;287.65;289.566245035;288.15;287.65;288.15;288.15;288.15;293.65;286.155720548;288.65;293.65;288.155712121;288.15;288.15;288.314132719;288.15;288.15;287.65;287.65
2014-01-01 05:00:00;288.732842265;288.65;288.65;289.406892828;289.125722867;288.65;288.15;288.771161092;290.4;293.65;286.746603877;287.65;288.488719341;287.65;287.65;293.65;287.229338637;288.15;289.502033454;286.705269715;287.65;288.15;293.65;287.65;288.15;287.65;287.65;287.65;288.176695585;288.087125645;288.15;287.65;289.451648078;288.15;287.65;288.15;288.15;288.15;293.65;293.15;288.65;293.65;288.15;288.15;288.15;288.254221644;290.65;288.15;287.65;287.65
2014-01-01 05:15:00;288.65;288.65;288.65;289.319674329;289.004797316;288.65;288.15;288.741211843;287.83713907;293.65;286.684152513;287.65;288.560244526;287.65;287.65;293.65;287.168038707;288.15;289.399092564;286.58121606;287.65;288.15;293.65;287.735423783;288.15;287.65;287.65;287.65;288.15;287.977324477;288.15;287.65;289.329438613;288.15;287.65;288.15;288.15;288.15;293.65;293.15;288.65;293.65;288.15;288.15;288.15;288.201761552;293.15;288.15;287.65;287.65
2014-01-01 05:30:00;288.65;288.65;288.65;289.233132314;288.882547343;288.65;288.15;288.715550646;287.65;293.65;286.615860914;287.65;288.629756747;287.65;287.65;293.65;288.65;288.15;289.29573476;286.468670565;287.65;288.15;293.65;287.819970619;288.15;287.65;287.65;287.65;288.15;293.15;288.15;287.65;289.218532635;288.15;287.65;288.15;288.15;288.15;293.65;293.15;288.65;293.65;288.15;288.15;288.15;288.15;290.65;288.15;287.65;287.65
2014-01-01 05:45:00;288.65;288.65;288.65;289.155520951;288.766271672;288.65;288.15;288.692524233;287.65;293.65;286.541669574;287.65;293.15;287.65;287.65;293.65;293.15;288.15;289.190506885;286.361170775;287.65;288.15;293.65;287.88678618;288.15;287.65;287.65;287.65;288.15;288.43019761;288.15;287.65;289.100830877;288.15;287.65;288.15;288.15;288.15;293.65;293.15;288.650876097;293.65;288.15;288.15;288.15;288.15;288.431859687;288.15;287.65;287.65
2014-01-01 06:00:00;288.65;288.65;288.65;289.080503273;288.65;291.65;288.190780404;288.675856158;287.65;293.65;286.469250258;287.65;293.15;287.65;287.65;293.65;287.799181352;288.15;289.097550382;286.257809506;287.65;288.15;293.65;287.938998286;288.15;287.65;287.65;287.65;288.15;287.838619938;288.15;287.65;288.982168067;288.15;287.689392986;288.15;288.15;288.15;293.65;293.15;288.651491819;293.9;288.15;288.15;288.15;288.15;288.197168246;288.15;287.65;287.65
