;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
2014-01-01 03:30:00;288.913006364;288.65;288.65;292.65;294.65;288.65;288.15;294.65;287.65;293.65;293.15;288.15;288.46521431;288.15;287.65;293.65;293.15;288.15;294.65;292.65;287.65;288.15;293.65;287.65;288.15;287.65;287.671621062;293.15;288.15;293.15;292.65;293.15;294.65;291.65;287.65;292.65;293.15;288.15;293.65;286.861949923;288.65;293.65;288.15;288.15;288.15;293.15;288.15;288.15;287.65;287.65
2014-01-01 03:45:00;288.989027511;288.65;288.65;292.65;294.65;288.730783508;288.15;288.950826703;287.65;293.65;287.555134849;288.15;288.604639441;288.15;287.65;293.65;287.445411128;288.15;294.65;292.65;287.65;288.15;293.65;287.65;288.15;287.65;287.659418781;287.65;288.15;293.15;292.65;293.15;294.65;291.65;287.65;292.65;293.15;288.15;293.65;293.15;288.65;293.65;288.15;288.15;288.15;290.14969435;288.15;288.15;287.65;287.65
2014-01-01 04:00:00;289.0566329;288.65;288.65;292.65;294.65;288.855993171;288.15;289.021426207;287.65;293.65;287.646805556;288.15;288.74904528;288.15;287.65;293.65;287.515718822;288.15;294.65;292.65;287.65;288.15;293.65;287.65;288.15;287.65;287.684625712;287.65;288.15;293.15;292.65;293.15;294.65;291.65;287.65;292.65;293.15;288.15;293.65;287.576975219;288.65;293.65;288.15;288.15;288.15;290.17322231;288.15;288.15;287.65;287.65
2014-01-01 04:15:00;289.123582559;288.65;288.65;292.65;294.65;289.002229715;288.15;289.045746882;287.65;293.65;287.690329348;288.15;288.896964183;288.15;287.65;293.65;287.539363592;288.15;294.65;292.65;287.735583713;288.15;293.65;287.65;288.15;287.65;287.740941408;287.672390844;288.15;293.15;292.65;293.15;294.65;291.65;287.65;292.65;293.15;288.15;293.65;287.970188143;288.65;293.65;288.15;288.15;288.15;290.187405074;293.15;288.15;287.65;287.704629458
2014-01-01 04:30:00;289.200681165;288.65;288.761829226;292.65;294.65;289.166027104;288.15;289.099671494;287.65;293.65;287.76059159;288.15;289.047083206;288.15;287.65;293.65;287.61777041;288.15;294.65;292.65;287.823136087;288.15;293.65;287.65;288.15;287.65;287.823649337;287.783407295;288.15;293.15;292.65;293.15;294.65;291.65;287.65;293.15;293.15;288.15;293.65;288.245974905;288.65;293.65;288.15;288.15;288.15;290.1769577;293.15;288.15;287.760749048;287.823444542
2014-01-01 04:45:00;289.371295677;288.798344845;288.896658391;292.65;294.65;289.344016883;288.15;289.195867405;287.65;293.65;287.852311023;288.15;289.198230712;288.15;287.65;293.65;287.669449646;288.15;294.65;292.65;287.911190975;288.15;293.65;287.65;288.15;287.65;287.953968727;287.895625138;288.277092276;293.15;292.65;293.15;294.65;288.15;287.65;288.15;293.15;288.15;293.65;288.534844471;288.65;293.65;288.15;288.15;288.15;290.19308853;288.15;288.15;287.897782243;287.995286389
2014-01-01 05:00:00;289.47591938;288.964699443;289.051622645;292.65;294.65;289.533172179;288.266120145;289.276495648;287.65;293.65;287.961738833;288.15;289.349364329;288.15;287.65;293.65;287.766458137;288.154337988;294.65;292.65;287.998849851;288.177889842;293.65;293.15;288.15;287.65;288.052003566;288.034443689;288.15;293.15;292.65;293.15;294.65;288.15;293.15;288.15;293.15;288.15;293.65;288.812370927;288.65;293.65;288.15;288.15;288.15;290.241055404;288.15;288.395172026;288.03617473;288.123493603
2014-01-01 05:15:00;289.640814063;289.147018983;289.2229166;292.65;294.65;289.730626919;288.403979205;289.391796848;287.798190359;293.65;288.085340146;288.15;289.499411227;288.15;287.65;293.65;287.879392239;288.317437428;294.65;292.65;288.085165855;288.323937397;293.65;287.896655042;288.15;287.65;288.190082835;288.122512053;288.32941538;293.15;292.65;293.15;294.65;288.15;293.15;288.15;293.15;288.15;293.65;289.129317217;288.666895246;293.65;288.15;288.20320076;288.15;290.304832942;288.15;288.640019775;288.20610057;288.328676361
2014-01-01 05:30:00;289.818630552;289.342044105;289.407312278;292.65;294.65;289.934006678;288.541547026;289.520412341;287.944163035;293.65;288.220124593;288.15;289.647604571;288.15;287.80749608;293.65;288.023571179;288.479132691;294.65;292.65;288.231985707;288.464689443;293.65;288.156176058;288.15;287.65;288.33940413;288.23481664;288.514945613;293.15;292.65;293.15;294.65;288.15;288.15;288.15;293.15;288.15;293.65;289.413471946;288.88264716;293.65;288.15;288.290409766;288.15;290.274882347;288.282800372;288.885889856;288.313293522;288.482908726
2014-01-01 05:45:00;290.007196717;289.547115089;289.602154286;292.65;294.65;290.141511996;288.678300202;289.660150083;288.089067253;293.65;288.363672259;288.15;289.793516496;288.15;287.99371472;293.65;288.142473574;288.640635069;294.65;292.65;288.252559516;288.608858945;293.65;288.370383399;288.15;287.65;288.497807623;288.345023888;288.708236864;293.15;292.65;293.15;294.65;288.15;288.15;288.26339857;293.15;288.15;293.65;289.626061211;289.091464711;293.65;288.15;288.37548798;288.15;290.30812043;288.427432575;289.131188726;288.450168357;288.677130911
