;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
2014-01-01 10:15:00;;;;;;;;;;;291.710843001;291.368110186;292.488705348;291.607475814;291.277517667;291.971826578;293.15;292.005605911;292.042871062;293.15
2014-01-01 10:30:00;;;;;;;;;;;291.678695281;291.345492528;292.341801349;291.578696509;291.256819675;291.924827638;293.15;291.958707171;291.989675463;292.752760688
2014-01-01 10:45:00;;;;;;;;;;;291.649027722;291.324493028;292.242049703;291.552038706;291.237613284;291.883183865;293.15;291.916918253;291.94353552;292.527964242
2014-01-01 11:00:00;;;;;;;;;;;291.621608361;291.305017848;292.167921439;291.527337294;291.219818051;291.845792899;292.764598697;291.879213374;291.902682905;292.389711271
2014-01-01 11:15:00;;;;;;;;;;;291.596203362;291.286938964;292.108783996;291.504407998;291.203317165;291.811883622;292.546488637;291.844875092;291.865985398;292.295570488
2014-01-01 11:30:00;;;;;;;;;;;291.572579879;291.270106335;292.059148714;291.483055622;291.187970092;291.78087191;292.412286971;291.813357326;291.83265117;292.225211388
2014-01-01 11:45:00;;;;;;;;;;;291.550491765;291.254339829;292.015987128;291.463063202;291.173604874;291.752270464;292.320774488;291.784199892;291.802065825;292.168604595
2014-01-01 12:00:00;;;;;;;;;;;291.529669481;291.239423432;291.977470633;291.444184231;291.160012603;291.725637627;292.252142276;291.75698049;291.77370527;292.120555104
2014-01-01 12:15:00;;;;;;;;;;;291.509676388;291.224964592;291.942232109;291.426000537;291.146806974;291.700410147;292.196422109;291.731149651;291.746950034;292.078030194
2014-01-01 12:30:00;;;;;;;;;;;291.490047316;291.210535001;291.909215109;291.408061999;291.13356522;291.676027474;292.148335297;291.706156594;291.721199668;292.039115836
2014-01-01 12:45:00;;;;;;;;;;;291.470511187;291.195894838;291.877751043;291.390109981;291.120052477;291.652145268;292.105063135;291.681663834;291.696080608;292.002678477
2014-01-01 13:00:00;;;;;;;;;;;291.450928721;291.18093167;291.847420587;291.372015638;291.106160776;291.628566999;292.065037152;291.657479594;291.671374397;291.968030836
2014-01-01 13:15:00;;;;;;;;;;;291.43120153;291.165570449;291.817920632;291.353689455;291.091819113;291.605148835;292.027303194;291.633463268;291.646920421;291.934705032
2014-01-01 13:30:00;;;;;;;;;;;291.411202556;291.149704628;291.788970052;291.335012019;291.076924624;291.581727102;291.991187152;291.609453303;291.622541932;291.902312161
2014-01-01 13:45:00;;;;;;;;;;;291.390812469;291.133233067;291.760330828;291.315870656;291.061379537;291.558152517;291.956198661;291.585301752;291.598079306;291.870539815
2014-01-01 14:00:00;;;;;;;;;;;291.369949335;291.116090103;291.731827766;291.296189297;291.045121275;291.534318295;291.921991396;291.560902594;291.57341745;291.839159177
2014-01-01 14:15:00;;;;;;;;;;;291.348622857;291.098300091;291.703395992;291.275982852;291.028177035;291.510213228;291.888379105;291.536244985;291.548538384;291.808065368
2014-01-01 14:30:00;;;;;;;;;;;291.326790931;291.0798342;291.674932786;291.255213881;291.010520605;291.485777378;291.855169887;291.511269072;291.523376568;291.777125003
2014-01-01 14:45:00;;;;;;;;;;;291.304226831;291.060477791;291.646161387;291.233659865;290.991939764;291.460768626;291.822019616;291.485732622;291.497685182;291.746037283
2014-01-01 15:00:00;;;;;;;;;;;291.280571608;291.039882962;291.616680939;291.210965669;290.972088845;291.434814579;291.788475386;291.459262998;291.471087839;291.714382142
2014-01-01 15:15:00;;;;;;;;;;;291.255737473;291.017972059;291.58636806;291.187046981;290.950892267;291.407815592;291.754372825;291.431760227;291.44348145;291.682020583
2014-01-01 15:30:00;;;;;;;;;;;291.230031195;290.99506117;291.555498904;291.162213748;290.928668037;291.380067883;291.719955235;291.403520141;291.415159235;291.649215857
2014-01-01 15:45:00;;;;;;;;;;;291.203830046;290.971536161;291.524424091;291.13684616;290.9058038;291.351939261;291.685546489;291.374910136;291.386486363;291.616307763
2014-01-01 16:00:00;;;;;;;;;;;291.177451307;290.947722245;291.49343746;291.111264182;290.882626425;291.323738467;291.651418307;291.346238527;291.357769231;291.583580936
2014-01-01 16:15:00;;;;;;;;;;;291.151069143;290.923800928;291.462692362;291.15;290.859318952;291.295631915;291.617705483;291.317671299;291.329172152;291.5511808
2014-01-01 16:30:00;;;;;;;;;;;291.124758786;290.899854235;291.432245398;291.15;290.835964831;291.267687769;291.584448834;291.289276194;291.300761396;291.519157043
2014-01-01 16:45:00;;;;;;;;;;;291.15;291.15;291.402108951;291.15;291.15;291.239928731;291.551647141;291.261075503;291.272557949;291.487515959
2014-01-01 17:00:00;;;;;;;;;;;291.15;291.15;291.372275506;291.15;291.15;291.212356571;291.519281037;291.233680829;291.244562013;291.45624462
2014-01-01 17:15:00;;;;;;;;;;;291.15;291.15;291.342728908;291.15;291.15;291.184963529;291.487323921;291.209057061;291.216764398;291.42593225
2014-01-01 17:30:00;;;;;;;;;;;291.15;291.15;291.313449585;291.15;291.15;291.157737673;291.455746943;291.198357575;291.18976209;291.398468602
2014-01-01 17:45:00;;;;;;;;;;;291.15;291.15;291.284416998;291.15;291.15;291.15;291.424521245;291.202046226;291.165489356;291.384765574
2014-01-01 18:00:00;;;;;;;;;;;291.15;291.15;291.255610781;291.164966889;291.15;291.15;291.393618956;291.217162892;291.155004076;291.385274016
2014-01-01 18:15:00;;;;;;;;;;;291.150986787;291.15;291.22701127;291.189081054;291.15;291.15;291.363013608;291.240193186;291.158767965;291.397092995
2014-01-01 18:30:00;;;;;;;;;;;291.168170862;291.15;291.199209978;291.217309948;291.15;291.15;291.332680273;291.268070436;291.17384842;291.416778138
2014-01-01 18:45:00;;;;;;;;;;;291.193395286;291.15;291.17416819;291.246858079;291.15;291.15;291.302595584;291.298419281;291.196763133;291.441322452
2014-01-01 19:00:00;;;;;;;;;;;291.222183794;291.15;291.163058539;291.276137935;291.15;291.164795071;291.273347924;291.329517849;291.224473337;291.468395033
2014-01-01 19:15:00;;;;;;;;;;;291.252004584;291.163036406;291.166346562;291.304242843;291.15;291.188478112;291.246932553;291.360176338;291.254625336;291.496304307
2014-01-01 19:30:00;;;;;;;;;;;291.281398061;291.183207276;291.181068221;291.330665515;291.163373211;291.216628597;291.234662069;291.38960874;291.285513043;291.523879414
2014-01-01 19:45:00;;;;;;;;;;;291.309521686;291.206040314;291.203704338;291.355140775;291.182483248;291.246549107;291.237004544;291.417323331;291.315957667;291.550344813
2014-01-01 20:00:00;;;;;;;;;;;291.33590181;291.22927591;291.231184192;291.377553568;291.203565049;291.27657346;291.250954855;291.443037071;291.345180588;291.575213202
2014-01-01 20:15:00;;;;;;;;;;;291.360291929;291.251758162;291.261129505;291.397882875;291.224732487;291.305675606;291.272946081;291.466611693;291.372694822;291.598201805
2014-01-01 20:30:00;;;;;;;;;;;291.382588056;291.27289979;291.291816527;291.416166357;291.245033245;291.333237993;291.299865945;291.488007266;291.398220185;291.619169861
2014-01-01 20:45:00;;;;;;;;;;;291.402776201;291.292416988;291.322054417;291.432477509;291.263993747;291.358908519;291.329303856;291.507249039;291.421619957;291.638073186
2014-01-01 21:00:00;;;;;;;;;;;291.420898793;291.310193508;291.351056746;291.446910661;291.281394295;291.382509113;291.359512441;291.524404078;291.442854854;291.654931726
2014-01-01 21:15:00;;;;;;;;;;;291.437032745;291.326208157;291.3783318;291.459571068;291.297154248;291.403975784;291.389284301;291.539564983;291.461950176;291.669806689
2014-01-01 21:30:00;;;;;;;;;;;291.45127496;291.340494416;291.403596839;291.470568368;291.311271032;291.423318618;291.417821817;291.552838661;291.478972644;291.682784591
2014-01-01 21:45:00;;;;;;;;;;;291.463732703;291.353116989;291.426714081;291.480012301;291.323786364;291.44059479;291.444626011;291.564338687;291.494014271;291.693966258
2014-01-01 22:00:00;;;;;;;;;;;293.15;291.364157689;291.447644195;291.488009973;293.15;291.455890272;291.469409672;291.574180184;291.507181235;291.703459326
2014-01-01 22:15:00;;;;;;;;;;;293.15;293.15;291.466413083;291.49466415;293.15;291.46930745;291.492032505;291.582476461;291.518586304;291.711373215
2014-01-01 22:30:00;;;;;;;;;;;293.15;293.15;291.48308849;291.500072281;293.15;291.480956765;291.512454;291.58933689;291.528343766;291.717815822
2014-01-01 22:45:00;;;;;;;;;;;293.15;293.15;291.497763692;291.504325987;293.15;291.490951151;291.530699788;293.15;291.536566102;291.722891424
2014-01-01 23:00:00;;;;;;;;;;;293.15;293.15;291.510546255;291.507510883;293.15;291.499402374;291.546837932;293.15;291.543361875;291.726699397
2014-01-01 23:15:00;;;;;;;;;;;293.15;293.15;291.521458866;291.509615083;293.15;291.506327196;291.560870879;293.15;291.548742943;291.729242
2014-01-01 23:30:00;;;;;;;;;;;293.15;293.15;291.530504777;291.51059994;293.15;291.511716519;293.15;293.15;291.552694329;291.730494624
2014-01-01 23:45:00;;;;;;;;;;;293.15;293.15;291.537776855;291.510512705;293.15;291.515647007;293.15;293.15;291.555286329;291.730518142
2014-01-02 00:00:00;;;;;;;;;;;293.15;293.15;291.543414724;293.15;293.15;291.51823998;293.15;293.15;291.55663374;293.15
2014-01-02 00:15:00;;;;;;;;;;;293.15;293.15;291.547500225;293.15;293.15;291.519558065;293.15;293.15;291.556792721;293.15
2014-01-02 00:30:00;;;;;;;;;;;293.15;293.15;291.550102787;293.15;293.15;291.519651357;293.15;293.15;291.555807093;293.15
2014-01-02 00:45:00;;;;;;;;;;;293.15;293.15;291.551375146;293.15;293.15;291.518653658;293.15;293.15;291.553804666;293.15
2014-01-02 01:00:00;;;;;;;;;;;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
2014-01-02 01:15:00;;;;;;;;;;;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
2014-01-02 01:30:00;;;;;;;;;;;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
