 A VSTC VWat E_backup_full E_backup_repr E_loss_stor_full E_loss_stor_repr E_curt_full E_curt_repr E_sol_full E_sol_repr t_repr t_comp E_demand_full E_demand_repr E_net_loss_full E_net_loss_repr E_net_pump_full E_net_pump_repr
0 25000.0 100000.0 50000.0 177780886.13037246 164120938.85669667 314126.1210610523 303723.3734418081 0.0 0.0 8417460.100527173 14044607.54544663 11.043994 5.364462 185106266.02524912 177123859.62863424 777954.0845917977 737963.4000725594 704943.1493384163 750737.3992625653
1 25000.0 150000.0 50000.0 177822024.84299222 164161712.29805654 355221.1166713247 344398.91162869526 0.0 0.0 8417460.100527173 14044607.54544663 11.273975 5.026599000000001 185106266.02524912 177123859.62863424 777997.8016027741 738061.3032701423 704930.033955895 750829.7303739007
2 25000.0 200000.0 50000.0 177858724.4924635 164198078.84368795 391881.5186465511 380677.9054086879 0.0 0.0 8417460.100527173 14044607.54544663 11.258178000000001 4.988092999999999 185106266.02524912 177123859.62863424 778037.0490983359 738148.8550925471 704918.5976437158 750912.4627742223
3 50000.0 100000.0 50000.0 169356610.86516148 153551437.388979 316329.4534056068 303723.89506568457 0.0 2754710.0410465794 16834920.20105317 25334505.049848538 11.312798 5.001106 185106266.02524912 177123859.62863424 768935.5875651038 1458358.9151329938 707561.1476861051 744116.0711161421
4 50000.0 150000.0 50000.0 169397415.796252 153588454.487207 357092.16890775453 344399.4036357904 0.0 3206959.78648932 16834920.20105317 24882255.30440264 11.338341 4.995347000000002 185106266.02524912 177123859.62863424 768977.8031531486 1002450.7593588389 707548.523682003 744181.9961012199
5 50000.0 200000.0 50000.0 169433903.80437124 153621470.52818546 393542.39596357185 380678.39578808245 0.0 2788703.4905991997 16834920.20105317 25300511.60029592 11.253037000000013 4.985421000000009 185106266.02524912 177123859.62863424 769015.5842158394 1417444.1040681277 707536.2195365211 744240.7956937444
6 75000.0 100000.0 50000.0 160938814.35104248 145680015.42104492 325004.2430335777 303724.0440084664 0.0 8413051.234646168 25252380.30158097 33720771.401682824 11.285277999999991 5.0074829999999935 185106266.02524912 177123859.62863424 759924.384343026 1973203.1500761474 710178.084146194 750971.8602018068
7 75000.0 150000.0 50000.0 160978457.55402023 145715394.282751 364608.68617818353 344399.5789446777 0.0 8568017.084289026 25252380.30158097 33565805.552044764 11.281441999999998 5.030979000000002 185106266.02524912 177123859.62863424 759963.1441780996 1812940.6272487226 710166.0320416642 751033.4602774282
8 75000.0 200000.0 50000.0 161014217.734117 145746949.1700424 400331.9428919632 380678.54565969337 0.0 8534797.364627758 25252380.30158097 33599025.2716994 11.295527000000007 4.998686000000006 185106266.02524912 177123859.62863424 760000.0675596847 1841436.2674667314 710154.089932929 751088.4023772822
9 25000.0 100000.0 75000.0 177808637.87110195 164146707.72783244 341768.2925001684 329393.4834736335 0.0 0.0 8417460.100527173 14044607.54544663 11.313747000000006 5.069917000000004 185106266.02524912 177123859.62863424 778063.6538849875 738062.1611642373 693253.2431246528 750920.3337332192
10 25000.0 150000.0 75000.0 177849782.3633679 164187481.4278571 382869.01329603826 370069.0216708819 0.0 0.0 8417460.100527173 14044607.54544663 11.297261000000006 5.043434000000005 185106266.02524912 177123859.62863424 778107.4253568945 738160.3230085295 693240.6104631494 751013.0916205148
11 25000.0 200000.0 75000.0 177886490.05044895 164223847.9734819 419537.522517388 406348.0154602051 0.0 0.0 8417460.100527173 14044607.54544663 11.339934999999997 5.098110999999989 185106266.02524912 177123859.62863424 778146.6032158645 738247.8748309555 693228.8491728614 751095.824019197
12 50000.0 100000.0 75000.0 169384426.86238256 153574828.8444022 344033.88458223856 329394.02319647046 0.0 2932303.27890548 16834920.20105317 25156911.81198648 11.397842999999995 5.090946000000002 185106266.02524912 177123859.62863424 769047.1536113103 1278487.0045429633 695871.0878623186 744282.4969379382
13 50000.0 150000.0 75000.0 169425246.4162354 153611845.94247314 384812.12813040963 370069.5512780879 0.0 2633662.95871666 16834920.20105317 25455552.132176876 11.487409000000014 5.166605000000004 185106266.02524912 177123859.62863424 769088.4639159973 1573468.8947304368 695859.0642173407 744348.4219208115
14 50000.0 200000.0 75000.0 169461748.67053756 153644861.98327848 421276.5829553831 406348.51806944935 0.0 3227776.44536306 16834920.20105317 24861438.64552732 11.344390000000004 5.064154000000002 185106266.02524912 177123859.62863424 769126.2633934676 976092.4821178355 695847.2192713647 744407.221511552
15 75000.0 100000.0 75000.0 160966663.46885583 145702370.0109758 352740.30519024783 329394.1274999038 0.0 8574704.302709803 25252380.30158097 33559118.33362818 11.395572999999985 5.079436999999984 185106266.02524912 177123859.62863424 760037.4400034075 1808234.588463386 698488.0740709079 751135.5577945166
