 A VSTC VWat E_backup_full E_backup_repr E_loss_stor_full E_loss_stor_repr E_curt_full E_curt_repr E_sol_full E_sol_repr t_repr t_comp E_demand_full E_demand_repr E_net_loss_full E_net_loss_repr E_net_pump_full E_net_pump_repr
0 25000.0 50000.0 50000.0 177731804.95970136 200887620.18303165 265096.03940692 310808.16302266903 0.0 0.0 8417460.100527173 7920805.745345899 3.089745999999991 1.499324999999999 185106266.02524912 207613362.6097373 777902.995576918 884255.1556285281 704958.6343657862 881277.8531312366
1 25000.0 100000.0 50000.0 177780886.13037246 200943596.4249386 314126.1210610523 377007.56439602986 0.0 0.0 8417460.100527173 7920805.745345899 1.8494550000000345 0.22401300000001356 185106266.02524912 207613362.6097373 777954.0845917977 874031.9961586292 704943.1493384163 865754.5830417752
2 25000.0 150000.0 50000.0 177822024.84299222 200988694.35358065 355221.1166713247 422697.29431144893 0.0 0.0 8417460.100527173 7920805.745345899 1.8885809999999879 0.20398899999997866 185106266.02524912 207613362.6097373 777997.8016027741 873440.19491415 704930.033955895 860517.213492995
3 50000.0 50000.0 50000.0 169308203.35107732 192963440.8166101 267966.44185202743 315691.4653411256 0.0 0.0 16834920.20105317 15841611.490695471 1.9729340000000093 0.24586999999996806 185106266.02524912 207613362.6097373 768891.0850326269 875998.2322493837 707575.4853598359 879564.8610372437
4 50000.0 100000.0 50000.0 169356610.86516148 193014191.81017926 316329.4534056068 377550.9277798068 0.0 0.0 16834920.20105317 15841611.490695471 1.8074660000000335 0.24560600000000932 185106266.02524912 207613362.6097373 768935.5875651038 864889.7633950606 707561.1476861051 867288.772181676
5 50000.0 150000.0 50000.0 169397415.796252 193057615.92288262 357092.16890775453 420925.51976154454 0.0 0.0 16834920.20105317 15841611.490695471 1.9596099999999979 0.2448880000000031 185106266.02524912 207613362.6097373 768977.8031531486 864939.284110902 707548.523682003 862765.942088565
6 75000.0 50000.0 50000.0 160892296.40898153 185038798.59374958 278107.80930081673 320717.99522690475 0.0 0.0 25252380.30158097 23762417.236036863 1.8925169999999412 0.2558599999999842 185106266.02524912 207613362.6097373 760302.8760159188 867135.22484628 710534.4447256076 879078.5100775774
7 75000.0 100000.0 50000.0 160938814.35104248 185084760.90378204 325004.2430335777 377422.67773595685 0.0 0.0 25252380.30158097 23762417.236036863 2.0387890000000084 0.33333399999997937 185106266.02524912 207613362.6097373 759924.384343026 856392.8523764951 710178.084146194 869758.5395539417
8 75000.0 150000.0 50000.0 160978457.55402023 185127883.65590888 364608.68617818353 420495.5302072783 0.0 0.0 25252380.30158097 23762417.236036863 1.8226230000000214 0.2485449999999787 185106266.02524912 207613362.6097373 759963.1441780996 856442.7520486569 710166.0320416642 865196.0052012815
9 100000.0 50000.0 50000.0 153170632.8941145 177108765.6052536 282938.56784939923 320058.20520431217 689572.9313443501 0.0 32980267.470760606 31683222.981389083 1.8759409999999548 0.25018199999999524 185106266.02524912 207613362.6097373 761695.7717828135 858567.7717415048 720911.0602076837 881909.3382505556
