 A VSTC VWat E_backup_full E_backup_repr E_loss_stor_full E_loss_stor_repr E_curt_full E_curt_repr E_sol_full E_sol_repr t_repr t_comp E_demand_full E_demand_repr E_net_loss_full E_net_loss_repr E_net_pump_full E_net_pump_repr
0 25000.0 100000.0 50000.0 177780886.13037246 207615020.778763 314126.1210610523 310319.2123775928 0.0 0.0 8417460.100527173 0.0 8.077608999999939 0.365538000000015 185106266.02524912 206428209.21011728 777954.0845917977 876492.356291692 704943.1493384163 668656.6519506986
1 25000.0 150000.0 50000.0 177822024.84299222 207656722.008615 355221.1166713247 351879.244264974 0.0 0.0 8417460.100527173 0.0 8.073500999999965 0.4175719999999501 185106266.02524912 206428209.21011728 777997.8016027741 876633.5542073362 704930.033955895 668723.3713541981
2 25000.0 200000.0 50000.0 177858724.4924635 207693915.86620548 391881.5186465511 388947.1655754006 0.0 0.0 8417460.100527173 0.0 8.249741000000085 0.39349700000002485 185106266.02524912 206428209.21011728 778037.0490983359 876759.4904252812 704918.5976437158 668782.8792393917
3 50000.0 100000.0 50000.0 169356610.86516148 207615020.778763 316329.4534056068 310319.2123775928 0.0 0.0 16834920.20105317 0.0 8.112739999999917 0.3796979999999621 185106266.02524912 206428209.21011728 768935.5875651038 876492.356291692 707561.1476861051 668656.6519506986
4 50000.0 150000.0 50000.0 169397415.796252 207656722.008615 357092.16890775453 351879.244264974 0.0 0.0 16834920.20105317 0.0 7.764145000000099 0.34784700000000157 185106266.02524912 206428209.21011728 768977.8031531486 876633.5542073362 707548.523682003 668723.3713541981
5 50000.0 200000.0 50000.0 169433903.80437124 207693915.86620548 393542.39596357185 388947.1655754006 0.0 0.0 16834920.20105317 0.0 7.649109000000067 0.34097800000006373 185106266.02524912 206428209.21011728 769015.5842158394 876759.4904252812 707536.2195365211 668782.8792393917
6 75000.0 100000.0 50000.0 160938814.35104248 207615020.778763 325004.2430335777 310319.2123775928 0.0 0.0 25252380.30158097 0.0 7.714510000000018 0.3452350000000024 185106266.02524912 206428209.21011728 759924.384343026 876492.356291692 710178.084146194 668656.6519506986
7 75000.0 150000.0 50000.0 160978457.55402023 207656722.008615 364608.68617818353 351879.244264974 0.0 0.0 25252380.30158097 0.0 7.6805420000000595 0.3411230000000387 185106266.02524912 206428209.21011728 759963.1441780996 876633.5542073362 710166.0320416642 668723.3713541981
8 75000.0 200000.0 50000.0 161014217.734117 207693915.86620548 400331.9428919632 388947.1655754006 0.0 0.0 25252380.30158097 0.0 7.828697000000034 0.37184799999999996 185106266.02524912 206428209.21011728 760000.0675596847 876759.4904252812 710154.089932929 668782.8792393917
9 25000.0 100000.0 75000.0 177808637.87110195 207641352.58277503 341768.2925001684 336547.3779139785 0.0 0.0 8417460.100527173 0.0 7.9281819999999925 0.38714200000003984 185106266.02524912 206428209.21011728 778063.6538849875 876595.9947984478 693253.2431246528 668743.4033770175
10 25000.0 150000.0 75000.0 177849782.3633679 207683053.81262702 382869.01329603826 378107.4098013526 0.0 0.0 8417460.100527173 0.0 7.873522999999977 0.3767440000000306 185106266.02524912 206428209.21011728 778107.4253568945 876737.1927141289 693240.6104631494 668810.1227805538
11 25000.0 200000.0 75000.0 177886490.05044895 207720247.670181 419537.522517388 415175.3311117833 0.0 0.0 8417460.100527173 0.0 7.824901999999952 0.3769320000000107 185106266.02524912 206428209.21011728 778146.6032158645 876863.1289319277 693228.8491728614 668869.6306655647
12 50000.0 100000.0 75000.0 169384426.86238256 207641352.58277503 344033.88458223856 336547.3779139785 0.0 0.0 16834920.20105317 0.0 7.772719000000052 0.3735700000000861 185106266.02524912 206428209.21011728 769047.1536113103 876595.9947984478 695871.0878623186 668743.4033770175
13 50000.0 150000.0 75000.0 169425246.4162354 207683053.81262702 384812.12813040963 378107.4098013526 0.0 0.0 16834920.20105317 0.0 7.917376000000104 0.3870240000001104 185106266.02524912 206428209.21011728 769088.4639159973 876737.1927141289 695859.0642173407 668810.1227805538
14 50000.0 200000.0 75000.0 169461748.67053756 207720247.670181 421276.5829553831 415175.3311117833 0.0 0.0 16834920.20105317 0.0 7.943499000000088 0.3844280000000708 185106266.02524912 206428209.21011728 769126.2633934676 876863.1289319277 695847.2192713647 668869.6306655647
15 75000.0 100000.0 75000.0 160966663.46885583 207641352.58277503 352740.30519024783 336547.3779139785 0.0 0.0 25252380.30158097 0.0 7.913408000000004 0.375163999999927 185106266.02524912 206428209.21011728 760037.4400034075 876595.9947984478 698488.0740709079 668743.4033770175
16 75000.0 150000.0 75000.0 161006331.73245904 207683053.81262702 392370.6774649016 378107.4098013526 0.0 0.0 25252380.30158097 0.0 7.880899999999997 0.37113399999998364 185106266.02524912 206428209.21011728 760075.3313330237 876737.1927141289 698476.865616476 668810.1227805538
17 75000.0 200000.0 75000.0 161042107.9393187 207720247.670181 428110.5209662863 415175.3311117833 0.0 0.0 25252380.30158097 0.0 7.934556000000043 0.38687900000002173 185106266.02524912 206428209.21011728 760111.6946909402 876863.1289319277 698465.1274045606 668869.6306655647
18 25000.0 100000.0 100000.0 177834016.45454293 207664833.737371 367045.9519551301 359936.11368799175 0.0 0.0 8417460.100527173 0.0 7.9546060000000125 0.37522200000000794 185106266.02524912 206428209.21011728 778164.5778722202 876688.413524579 681548.3631095954 668820.7631978465
19 25000.0 150000.0 100000.0 177875164.82852465 207706534.96715 408151.4490945685 401496.1455753732 0.0 0.0 8417460.100527173 0.0 7.803756000000021 0.37196700000004057 185106266.02524912 206428209.21011728 778207.4547151559 876829.6114403693 681535.3957181425 668887.4826015285
20 25000.0 200000.0 100000.0 177911871.9319701 207743728.82459447 444819.3924066721 438564.0668858045 0.0 0.0 8417460.100527173 0.0 7.928130999999894 0.3845699999999397 185106266.02524912 206428209.21011728 778246.6148483125 876955.5476582049 681523.9816076696 668946.9904864666
21 50000.0 100000.0 100000.0 169409828.34454858 207664833.737371 369331.08346124366 359936.11368799175 0.0 0.0 16834920.20105317 0.0 7.754745999999955 0.35559200000000146 185106266.02524912 206428209.21011728 769151.436899274 876688.413524579 684166.7519274737 668820.7631978465
22 50000.0 150000.0 100000.0 169450659.25965458 207706534.96715 410123.63903301064 401496.1455753732 0.0 0.0 16834920.20105317 0.0 7.9806599999999435 0.3849249999999529 185106266.02524912 206428209.21011728 769189.79643348 876829.6114403693 684154.5795548157 668887.4826015285
23 50000.0 200000.0 100000.0 169487163.13095567 207743728.82459447 446590.2765691367 438564.0668858045 0.0 0.0 16834920.20105317 0.0 8.020686999999953 0.3741649999999481 185106266.02524912 206428209.21011728 769227.030197868 876955.5476582049 684143.1553259579 668946.9904864666
