param;SFH_D_1_2zone_TAB;SFH_D_1_2zone_REF1;SFH_D_1_2zone_REF2;SFH_D_2_2zone_TAB;SFH_D_2_2zone_REF1;SFH_D_2_2zone_REF2;SFH_D_3_2zone_TAB;SFH_D_3_2zone_REF1;SFH_D_3_2zone_REF2;SFH_D_4_2zone_TAB;SFH_D_4_2zone_REF1;SFH_D_4_2zone_REF2;SFH_D_5_2zone_TAB;SFH_D_5_ins_TAB;SFH_SD_1_2zone_TAB;SFH_SD_1_2zone_REF1;SFH_SD_1_2zone_REF2;SFH_SD_2_2zone_TAB;SFH_SD_2_2zone_REF1;SFH_SD_2_2zone_REF2;SFH_SD_3_2zone_TAB;SFH_SD_3_2zone_REF1;SFH_SD_3_2zone_REF2;SFH_SD_4_2zone_TAB;SFH_SD_4_2zone_REF1;SFH_SD_4_2zone_REF2;SFH_SD_5_TAB;SFH_SD_5_Ins_TAB;SFH_T_1_2zone_TAB;SFH_T_1_2zone_REF1;SFH_T_1_2zone_REF2;SFH_T_2_2zone_TAB;SFH_T_2_2zone_REF1;SFH_T_2_2zone_REF2;SFH_T_3_2zone_TAB;SFH_T_3_2zone_REF1;SFH_T_3_2zone_REF2;SFH_T_4_2zone_TAB;SFH_T_4_2zone_REF1;SFH_T_4_2zone_REF2;SFH_T_5_TAB;SFH_T_5_ins_TAB
hwD;861.1730919881306;740.3452346938775;430.5865459940653;555.5868849557522;555.5868849557522;555.5868849557522;376.4495654101996;376.4495654101996;376.4495654101996;502.91175202156336;502.91175202156336;502.91175202156336;348.32139406262706;348.32139406262706;314.07204297036395;210.84119219325228;207.94160801770656;221.02684152245342;158.07615881036227;158.07615881036227;177.65852222619762;136.73036437545244;136.73036437545244;192.42672314208707;141.08757763975157;141.08757763975157;120.14811326812355;120.14811326812355;152.65231457946646;152.65231457946646;101.06842831685697;110.07656558821958;78.72564500929629;110.07656558821958;72.8676618803135;72.8676618803135;56.080743187749825;80.85064909486859;59.27982374347084;80.85064909486859;51.2264265520316;51.2264265520316
hflD;427.31818181818187;279.2376237623763;279.2376237623763;403.1363636363636;403.1363636363636;403.1363636363636;465.81818181818176;465.81818181818176;465.81818181818176;441.6363636363637;441.6363636363637;441.6363636363637;469.6525423728813;469.6525423728813;326.1363636363636;213.11881188118815;326.1363636363636;282.54545454545456;184.63366336633666;184.63366336633666;305.45454545454544;199.6039603960396;199.6039603960396;329.0;214.99009900990103;214.99009900990103;348.8135593220339;348.8135593220339;240.86363636363635;240.86363636363635;240.86363636363635;237.04545454545456;237.04545454545456;447.0;197.27272727272728;197.27272727272728;128.91089108910893;201.0909090909091;131.40594059405942;201.0909090909091;213.5593220338983;213.5593220338983
hwiD;876.195232472325;584.8495270935962;584.8495270935962;605.6075691318327;605.6075691318327;605.6075691318327;545.9123922829582;545.9123922829582;545.9123922829582;599.9365273311897;599.9365273311897;599.9365273311897;693.7900073800739;693.7900073800739;436.482827543505;284.86668081415576;284.86668081415576;331.51720352787436;223.4480638854225;223.4480638854225;321.59308227688655;179.65020969510115;223.4356796426648;286.5387782871462;199.08073338295438;199.08073338295438;291.082149838067;291.082149838067;424.2572495599503;274.8412421401896;274.8412421401896;472.00047545760776;311.32159766571823;472.00047545760776;375.09791588361577;375.09791588361577;259.79329575601236;262.476187636131;233.91071079601988;190.3231629178423;258.3843066121021;258.3843066121021
infD;270.4602270967742;125.10007569892474;125.10007569892474;272.189413740458;125.76980458015267;125.76980458015267;234.46019221476507;128.65550604026845;128.65550604026845;212.6360105263158;134.3880052631579;94.13800526315791;188.06614142129754;170.01614142129753;171.67000632911393;87.52333544303798;87.52333544303798;182.72074613503855;91.34024871167952;91.34024871167952;165.7062043956044;96.50167032967033;96.50167032967033;142.0714783244033;91.92323916220167;91.92323916220167;128.6227959777493;110.57279597774928;144.1668376715361;80.84498591549296;80.54033731739707;140.67338169014084;79.14498591549295;79.14498591549295;103.38504848484848;74.99245668919096;74.99245668919096;94.80687891440502;68.84912734864301;68.84912734864301;94.78265632816407;76.73265632816407
UflD;121.30322580645162;121.30322580645162;35.984688995215315;114.43870967741935;114.43870967741935;27.62067891622548;75.44539877300612;75.44539877300612;36.38343195266272;61.58028169014085;61.58028169014085;42.47431693989071;49.4077265973254;21.48023255813953;92.58064516129032;115.25686680243389;27.464114832535888;80.20645161290324;97.65416508655508;8.552437973198709;49.47239263803681;25.518987341772153;10.381307771180783;45.874647887323945;20.61455696202532;10.346482801274425;37.0922198858516;16.028037383177573;68.37419354838708;235.51111111111106;20.283253588516747;67.29032258064515;86.44758883185784;16.241046402989724;31.950920245398773;31.950920245398773;20.503937007874015;28.039436619718312;50.400000000000006;6.763204265543543;22.466567607726596;9.767441860465116
UwD;1106.0402048053024;1106.0402048053024;73.651398956184;631.3868796508299;631.3868796508299;55.75707281986907;265.4707988593551;265.4707988593551;57.403487001232826;129.98879175602485;129.98879175602485;72.01211538461538;87.87741191258431;32.758225638508335;403.3757092068419;403.3757092068419;26.860854749178415;251.18204112945287;251.18204112945287;22.18160657067091;125.28411280849714;125.28411280849714;27.090531131726085;49.73699091791855;49.73699091791855;27.553651976295956;30.311963089710133;11.299446636259724;196.05767859245145;196.05767859245145;13.055513029002245;125.09456423716884;125.09456423716884;11.046961779438433;51.38599745573272;51.38599745573272;11.111336725807982;20.897658776686704;20.897658776686704;11.577033640866452;12.923828003838446;4.817639307404159
f1D;0.045452860561226605;0.045452860561226605;0.06817929084183989;0.044256584193595815;0.044256584193595815;0.044256584193595815;0.042593795428326565;0.042593795428326565;0.042593795428326565;0.04273800077555002;0.04273800077555002;0.04273800077555002;0.04232135783349725;0.04232135783349725;0.031657196609117796;0.04748579491367669;0.04748579491367669;0.03065973500369286;0.04598960250553928;0.04598960250553928;0.03234599391841006;0.04851899087761509;0.04851899087761509;0.030116404280485166;0.04517460642072774;0.04517460642072774;0.028691461501763285;0.028691461501763285;0.019347821900905348;0.029021732851358017;0.029021732851358017;0.01598239879051926;0.023973598185778888;0.01598239879051926;0.016098578727755948;0.016098578727755948;0.02414786809163392;0.013129231510529428;0.01969384726579414;0.01969384726579414;0.015512261240445475;0.015512261240445475
f2D;0.09090572112245321;0.09090572112245321;0.13635858168367979;0.08851316838719163;0.08851316838719163;0.08851316838719163;0.08518759085665313;0.08518759085665313;0.08518759085665313;0.08547600155110004;0.08547600155110004;0.08547600155110004;0.0846427156669945;0.0846427156669945;0.08152427229714862;0.12228640844572292;0.12228640844572292;0.07711075834051026;0.11566613751076536;0.11566613751076536;0.07982278095994737;0.11973417143992103;0.11973417143992103;0.07432064534007536;0.11148096801011302;0.11148096801011302;0.0708042007505759;0.0708042007505759;0.09767109509127919;0.1465066426369188;0.1465066426369188;0.10820348043918245;0.16230522065877365;0.10820348043918245;0.11184428096453561;0.11184428096453561;0.1677664214468034;0.08998643319062216;0.13497964978593324;0.13497964978593324;0.10069434068652475;0.10069434068652475
f3D;0.8059622482596241;0.8059622482596241;0.708943372389436;0.8073899471721557;0.8073899471721557;0.8073899471721557;0.8076244908454291;0.8076244908454291;0.8076244908454291;0.8078618754085708;0.8078618754085708;0.8078618754085708;0.807496006768893;0.807496006768893;0.8058826562678337;0.7088239844017505;0.7088239844017505;0.8067614348434773;0.7101421522652157;0.7101421522652157;0.8070413218451951;0.7105619827677924;0.7105619827677924;0.8077680491250033;0.7116520736875049;0.7116520736875049;0.8110131922276377;0.8110131922276377;0.8078190371365427;0.7117285557048139;0.7117285557048139;0.8068921927972998;0.7103382891959498;0.8068921927972998;0.8064544575018653;0.8064544575018653;0.7096816862527978;0.8063108361856045;0.7094662542784066;0.7094662542784066;0.8110876296799454;0.8110876296799454
f4D;0.027764561070302125;0.027764561070302125;0.041646841605453185;0.03215337591731177;0.03215337591731177;0.03215337591731177;0.03966686068837311;0.03966686068837311;0.03966686068837311;0.034336951123650754;0.034336951123650754;0.034336951123650754;0.03207712317676075;0.03207712317676075;0.04046793741294994;0.06070190611942491;0.06070190611942491;0.03924283752292653;0.05886425628438978;0.05886425628438978;0.04185553542654598;0.06278330313981896;0.06278330313981896;0.04710945920969746;0.07066418881454618;0.07066418881454618;0.046823984308394406;0.046823984308394406;0.05637153440345465;0.05637153440345465;0.05637153440345465;0.05169144597974885;0.05169144597974885;0.05169144597974885;0.04920201210438243;0.04920201210438243;0.04920201210438243;0.04481402774496623;0.04481402774496623;0.04481402774496623;0.05452932629481331;0.05452932629481331
