;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Bemdekensstraat_2_1586924;[78.373947893746674, 66.350499908549949, 71.820325825899701, 68.958562714816551];137.805709839;674.780565652;175.595953519;[12.115704792122033, 16.587624977137487, 17.955081456474925, 17.015571435154218];[12.115704792122033, 16.587624977137487, 17.955081456474925, 17.015571435154218];44988047.8391;48004797.5407;62619237.5041;7783870.28692;0.000117284350854;0.00500226943921;0.000331666096608;0.00983908301986;7.40439746532e-05;3.65377875127e-05;0.007857667337449999;0.0021944189433600004;1053.20454935;2.7;1.7;2.12310545217;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Bemdekensstraat_11_1587130;[72.065444382118585, 99.217906081678152, 72.108139346727683, 99.789020318253222];342.84096527099996;1028.86244067;359.401373899;[18.016361095529646, 24.804476520419538, 18.027034836681921, 24.947255079563305];[18.016361095529646, 24.804476520419538, 18.027034836681921, 24.947255079563305];54076500.1378;119429094.38;94549833.101;15931652.2922;9.75727714169e-05;0.00416155513506;0.00013331394583;0.00395484191524;4.71054837288e-05;1.7851594634e-05;0.00383909102401;0.00162861688967;2162.24459548;2.7;1.7;2.03355334646;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
