;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Hengelhoefstraat_142_1589395;[79.645168177254931, 61.692803279125059, 80.324291182187892, 63.474027415084215];147.111568451;791.5883469380002;196.386472003;[19.911292044313733, 15.423200819781265, 20.081072795546973, 12.142683441533134];[19.911292044313733, 15.423200819781265, 20.081072795546973, 12.142683441533134];44930210.7005;51246505.4434;72957352.2111;8705478.648839999;0.00011743532702600002;0.00500870869124;0.00031068584445;0.00921669066541;6.17973850551e-05;3.2669702614e-05;0.007025812799;0.00206825066678;1129.74708249;2.7;1.7;2.06020779128;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hengelhoefstraat_95_1586849;[50.758920457243974, 78.095919207550011, 48.916421808717089, 96.568423810954798];100.967506409;635.008096539;114.9836629;[12.523655156843137, 12.948734525123237, 12.227587506590634, 24.142105952738699];[12.523655156843137, 12.948734525123237, 12.227587506590634, 24.142105952738699];43228941.0128;35172161.6543;58985471.0825;5097030.42237;0.000122056979962;0.00520582580934;0.000452675157565;0.0134288927987;7.89108586193e-05;5.57982540819e-05;0.011999744605;0.0022594224944;872.665609313;2.7;1.7;2.13202549193;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hengelhoefstraat_91_1586848;[24.54452241171888, 53.206892074613798, 30.208617535783894, 73.182374398430909];169.72384262100002;520.590091662;194.92198663599999;[6.13613060292972, 13.301723018653449, 7.5521543839459735, 18.295593599607727];[6.13613060292972, 13.301723018653449, 7.5521543839459735, 18.295593599607727];28543425.622;59123520.4432;47916372.8403;8640560.50063;0.000184854966494;0.007884209128060002;0.0002692932305020001;0.00798875278086;9.35680594137e-05;3.29151562042e-05;0.00707859904552;0.00308547063078;878.664784214;2.7;1.7;2.0479559241;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hengelhoefstraat_16_1588543;[42.810303119586813, 35.504880055298656, 50.453207245548199, 28.32952974444369];122.927719116;350.697041259;160.770628136;[10.702575779896703, 8.8762200138246641, 12.356247003187441, 4.8410880713381408];[10.702575779896703, 8.8762200138246641, 12.356247003187441, 4.8410880713381408];24754627.5232;42822030.199;32632345.8861;7126688.80051;0.000213147783461;0.00909091993504;0.000371807776156;0.0110299111499;0.000143621109884;3.99070882048e-05;0.008582255381790001;0.00379940440854;618.7337189;2.7;1.7;2.14795906918;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hengelhoefstraat_118_1589411;[69.813342663639034, 89.109988819007569, 66.083532759677766, 88.674135885460174];382.451381683;841.73817481;304.64332764700004;[16.302577599718202, 20.161546954101727, 16.520883189919441, 20.846840853314045];[16.302577599718202, 20.161546954101727, 16.520883189919441, 20.846840853314045];49428129.3547;133227434.25;77684986.92;13504321.1342;0.000106748809956;0.00455292036687;0.000119506645972;0.0035452396949;5.83645193463e-05;2.10603254872e-05;0.00452914757467;0.00189250840125;1138.77227612;2.7;1.7;2.07265863604;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hengelhoefstraat_84_1588555;[53.67696927598368, 70.273092933545911, 49.464129088810196, 71.332956056906383];112.79490280200001;618.25930861;152.449460633;[13.41924231899592, 17.568273233386478, 9.521883229662647, 17.833239014226596];[13.41924231899592, 17.568273233386478, 9.521883229662647, 17.833239014226596];38565911.3996;39292250.5094;57204385.045;6757825.58252;0.000136814969373;0.00583526561847;0.000405208752677;0.012020772092;8.00873422812e-05;4.20853416676e-05;0.00905070167403;0.00239494474415;889.5634215360001;2.7;1.7;2.09586488056;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hengelhoefstraat_48_1586883;[71.567572475659361, 69.857833413346611, 73.166482845214645, 63.752237642885206];345.928741455;674.586069736;276.399043723;[17.89189311891484, 7.6722712699331259, 18.138683931621237, 15.938059410721301];[17.89189311891484, 7.6722712699331259, 18.138683931621237, 15.938059410721301];43859938.8489;120504725.214;62529865.1955;12252300.0141;0.000120300988224;0.00513093138616;0.000132123979292;0.00391954081066;7.38102443562e-05;2.32124089553e-05;0.00499196585475;0.0023428113197;1018.86336917;2.7;1.7;2.11261469643;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hengelhoefstraat_86_1589333;[35.70203423928583, 61.959654978418733, 34.015620504377701, 73.53880595335707];147.899929047;480.09120722800003;187.034527312;[8.9255085598214574, 15.403196016491743, 3.754704410571144, 18.272152628709826];[8.9255085598214574, 15.403196016491743, 3.754704410571144, 18.272152628709826];32336828.5205;51521131.8782;44573215.0944;8290922.829369999;0.000163169804473;0.00695931998069;0.000309029775519;0.00916756234066;0.00010421867504;3.43032258801e-05;0.0073771116402;0.00301425306652;788.1635707930002;2.7;1.7;2.12745235194;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hengelhoefstraat_43_1586920;[35.461196398211499, 51.274677023138629, 33.728238160223825, 49.651769095480731];168.868144989;451.822164246;196.877152686;[5.8439280985788775, 12.818669255784657, 8.4320595400559561, 12.412942273870183];[5.8439280985788775, 12.818669255784657, 8.4320595400559561, 12.412942273870183];26805926.2498;58825437.0647;41716717.2311;8727229.68983;0.000196836846368;0.00839524569074;0.00027065780745999995;0.008029233813180001;0.000108875163259;3.25882792911e-05;0.00700830223178;0.00353672196467;759.412713999;2.7;1.7;2.0765107029700003;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hengelhoefstraat_30_4752657;[73.88493016727594, 103.85807642980215, 78.495867391315898, 104.19795470906929];212.45412063599997;980.2420884019999;254.602204815;[17.394391884051146, 25.803574565248958, 9.7276452653066983, 25.412450032533808];[17.394391884051146, 25.803574565248958, 9.7276452653066983, 25.412450032533808];56795656.0512;74008668.1441;90418741.2975;11286083.1775;9.29013652421e-05;0.00396231600234;0.000215131067996;0.00638199821993;5.0032921356e-05;2.5199654663e-05;0.00541933479939;0.00178364629701;1448.25377325;2.7;1.7;2.06770184933;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hengelhoefstraat_165_1586856;[59.307251459199961, 39.889051716218077, 59.691024348482088, 41.642153073699625];144.66619873;200.529480598;144.89253769799998;[14.82681286479999, 9.3908772513037917, 14.922756087120522, 10.410538268424906];[14.82681286479999, 9.3908772513037917, 14.922756087120522, 10.410538268424906];31598334.3026;50394657.7335;24212030.8356;6422840.02782;0.000166983295273;0.00712196835061;0.000315937532565;0.00937248529106;0.00029001354123;4.42803179495e-05;0.00952274430744;0.00281987119408;600.943370639;2.7;1.7;2.7;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hengelhoefstraat_148B_1586870;[39.736325269752435, 39.385436892533988, 38.762349327011322, 40.56958150913627];154.751247406;409.86032446800004;184.414262524;[9.9340813174381086, 9.8463592231334971, 9.6905873317528304, 5.3891271172573783];[9.9340813174381086, 9.8463592231334971, 9.6905873317528304, 5.3891271172573783];24968262.7608;53907797.5041;37884051.3535;8174770.943089998;0.000211324033135;0.00901313555497;0.000295348067551;0.008761685882620001;0.00012043323990100003;3.47906260066e-05;0.00748192992052;0.0040082264061;704.372439288;2.7;1.7;2.08660412716;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hengelhoefstraat_77_1589353;[74.452678844138674, 69.291385895295974, 76.802241104557822, 63.389166293415556];241.9168396;283.93547213700003;242.255049482;[18.613169711034669, 15.749497259238003, 19.200560276139456, 15.847291573353889];[18.613169711034669, 15.749497259238003, 19.200560276139456, 15.847291573353889];44740992.4078;84272044.4621;34282512.4077;10738754.759;0.000117931983691;0.00502989148707;0.000188930551293;0.0056047434397700005;0.000204822118037;2.64840202567e-05;0.005695545217760001;0.0020130579071600003;1278.11256883;2.7;1.7;2.7;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hengelhoefstraat_47_1586919;[55.697073295638411, 103.42748670580067, 53.317145011997809, 72.613470737863949];164.991088867;568.19833371;180.22736586099998;[8.7108485492374861, 24.107018653490655, 13.329286252999452, 16.421664036811727];[8.7108485492374861, 24.107018653490655, 13.329286252999452, 16.421664036811727];44917429.1542;57474859.5422;53178753.6926;7989172.92743;0.000117468744012;0.00501013395184;0.000277017881307;0.008217909397560001;9.01514479163e-05;3.55988537429e-05;0.0076557440761499986;0.0022331793911;1087.93684818;2.7;1.7;2.20168252675;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hengelhoefstraat_74_1586879;[45.129290823902807, 73.451778811290637, 39.70412379892511, 69.640790697636689];79.2336959839;502.817707765;107.81391124700001;[11.114245116320978, 18.362944702822659, 7.3441248365574765, 17.27666690638868];[11.114245116320978, 18.362944702822659, 7.3441248365574765, 17.27666690638868];35915324.8758;27601160.6381;46814234.3763;4779207.51278;0.000146912049528;0.006265913996689999;0.0005768439967990001;0.017112439384299998;0.000100341798901;5.95089034761e-05;0.012797741707;0.0025828578020000003;648.063052178;2.7;1.7;2.15329744878;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hengelhoefstraat_124_1589282;[81.317683054244512, 79.303448541165864, 78.784618256703197, 77.994414895577933];226.115589142;1150.96545711;266.970027517;[15.266924293903159, 19.825862135291466, 19.696154564175799, 19.497810094101695];[15.266924293903159, 19.825862135291466, 19.696154564175799, 19.497810094101695];50014174.8909;78767658.3957;105101726.835;11834327.7453;0.000105497971295;0.0044995711181;0.000202133263107;0.00599641017614;4.12366121332e-05;2.40322394894e-05;0.00516827526066;0.0018809194332;1653.44095767;2.7;1.7;1.9757686278;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hengelhoefstraat_60_1588441;[48.840146765781469, 67.781395008628564, 49.228913350345081, 66.0057707280492];151.58587265;363.850366478;151.97022245600002;[12.210036691445367, 16.945348752157141, 12.106769745977235, 13.726360056433936];[12.210036691445367, 16.945348752157141, 12.106769745977235, 13.726360056433936];36534630.7824;52805135.1074;34551658.2348;6736581.76834;0.00014442171369899998;0.006159699222770001;0.000301515445163;0.00894464501216;0.000146446969923;4.22180578148e-05;0.00907924306656;0.0025410286698;816.758180386;2.7;1.7;2.33722960649;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hengelhoefstraat_64_4753662;[38.18627403807816, 55.809369202536253, 41.376534255219809, 61.657482770002758];122.4180336;197.02966026599998;122.705871718;[9.5465685095195401, 13.952342300634063, 5.9400579216225733, 10.62353991471017];[9.5465685095195401, 13.952342300634063, 5.9400579216225733, 10.62353991471017];31046851.8347;42644480.5891;23789460.7599;5439342.81944;0.00016994940469499995;0.007248475241;0.000373355791859;0.0110758340078;0.00029516502596900013;5.22867206593e-05;0.0112445685707;0.0034877345046700004;535.300336209;2.7;1.7;2.7;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hengelhoefstraat_6870_1586878;[43.031369391588086, 43.772815913081736, 38.926338403834556, 40.825745861335314];157.839515686;439.478121682;196.653247015;[10.71929524591291, 10.943203978270434, 6.4793482456413258, 10.206436465333828];[10.71929524591291, 10.943203978270434, 6.4793482456413258, 10.206436465333828];26245022.2799;54983599.7601;40587951.0973;8717304.33185;0.000201043608601;0.0085746673954;0.0002895693240940001;0.008590255829290001;0.000112027522052;3.26253836901e-05;0.00701628175226;0.00364364136831;730.995279606;2.7;1.7;2.07898648727;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hengelhoefstraat_111_1586854;[46.300841297257499, 68.064455597309347, 47.402690259460215, 60.733742191820731];168.051589966;222.501729346;168.634258744;[10.090508405302909, 14.277503387823423, 11.850672564865054, 15.183435547955183];[10.090508405302909, 14.277503387823423, 11.850672564865054, 15.183435547955183];35060600.5951;58540989.0645;26864971.2543;7475270.185289999;0.000150493542535;0.00641866747903;0.000271972921421;0.00806824749466;0.000261374439471;3.80461697732e-05;0.00818205386514;0.0027183196725300003;813.9375273589999;2.7;1.7;2.7;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hengelhoefstraat_140_1589412;[89.538249711940026, 47.556847159518313, 92.579908998492925, 50.053946837611853];127.90482711799999;768.086969675;158.922208355;[14.564153015375318, 11.355262014396466, 23.144977249623231, 12.006739347493957];[14.564153015375318, 11.355262014396466, 23.144977249623231, 12.006739347493957];44078152.177;44555812.2189;70822121.9451;7044751.492060001;0.000119705426076;0.00510553019399;0.00035733977287900003;0.0106007087478;6.37756434151e-05;4.03712464366e-05;0.00868207535517;0.00228794505731;1014.7267471;2.7;1.7;2.06418916575;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hengelhoefstraat_11_1589335;[80.717554979212949, 41.081608423603704, 55.972223052769621, 36.04145885883927];122.87635040299999;478.543924416;141.993956489;[17.966147328372703, 5.5069220375040437, 13.666287630204266, 9.0103647147098176];[17.966147328372703, 5.5069220375040437, 13.666287630204266, 9.0103647147098176];33691453.9662;42804135.8412;44522894.797;6294350.84744;0.00015660926928999998;0.006679508015899999;0.000371963211169;0.0110345222272;0.000105212382843;4.51842303462e-05;0.0097171360153;0.0030276974285100003;728.45241017;2.7;1.7;2.14679878775;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
